product_id,restaurant_id,product_name,category,price,cost,availability
PROD00031,REST0031,Food Item 0031,Rice,442.37,207.53,Available
PROD00032,REST0100,Food Item 0032,Chicken,675.32,460.65,Available
PROD00033,REST0073,Food Item 0033,Burger,558.78,303.36,Available
PROD00034,REST0046,Food Item 0034,Drinks,168.4,77.75,Unavailable
PROD00035,REST0067,Food Item 0035,Biryani,1154.09,776.44,Available
PROD00036,REST0097,Food Item 0036,Rice,1149.1,631.17,Unavailable
PROD00037,REST0091,Food Item 0037,Noodles,421.7,281.12,Available
PROD00038,REST0043,Food Item 0038,Biryani,910.05,602.72,Available
PROD00039,REST0001,Food Item 0039,Rice,744.86,454.69,Available
PROD00040,REST0044,Food Item 0040,Noodles,376.47,257.21,Available
PROD00041,REST0057,Food Item 0041,Burger,403.15,251.69,Available
PROD00042,REST0009,Food Item 0042,Drinks,650.45,348.64,Unavailable
PROD00043,REST0005,Food Item 0043,Snacks,572.78,383.9,Available
PROD00044,REST0079,Food Item 0044,Snacks,434.53,272.34,Available
PROD00045,REST0009,Food Item 0045,Rice,992.11,450.24,Unavailable
PROD00046,REST0045,Food Item 0046,Drinks,639.98,461.1,Available
PROD00047,REST0092,Food Item 0047,Rice,827.24,507.67,Unavailable
PROD00048,REST0077,Food Item 0048,Burger,324.42,230.53,Available
PROD00049,REST0024,Food Item 0049,Noodles,696.19,497.65,Unavailable
PROD00050,REST0074,Food Item 0050,Drinks,463.41,270.4,Available
PROD00051,REST0042,Food Item 0051,Biryani,688.53,414.7,Unavailable
PROD00052,REST0022,Food Item 0052,Noodles,963.29,553.63,Available
PROD00053,REST0060,Food Item 0053,Biryani,950.43,555.84,Available
PROD00054,REST0086,Food Item 0054,Biryani,502.56,361.11,Available
PROD00055,REST0037,Food Item 0055,Burger,869.82,597.08,Unavailable
PROD00056,REST0039,Food Item 0056,Pizza,1136.59,554.61,Unavailable
PROD00057,REST0084,Food Item 0057,Pizza,795.72,503.76,Unavailable
PROD00058,REST0074,Food Item 0058,Drinks,280.28,209.87,Available
PROD00059,REST0074,Food Item 0059,Chicken,854.09,536.94,Available
PROD00060,REST0090,Food Item 0060,Dessert,233.3,159.99,Unavailable
PROD00061,REST0089,Food Item 0061,Pizza,1061.88,722.84,Unavailable
PROD00062,REST0053,Food Item 0062,Drinks,677.99,376.35,Available
PROD00063,REST0028,Food Item 0063,Biryani,535.95,300.97,Available
PROD00064,REST0077,Food Item 0064,Snacks,181.57,121.15,Unavailable
PROD00065,REST0015,Food Item 0065,Pizza,531.25,318.75,Available
PROD00066,REST0060,Food Item 0066,Burger,1095.46,680.47,Unavailable
PROD00067,REST0060,Food Item 0067,Drinks,142.66,94.71,Available
PROD00068,REST0006,Food Item 0068,Dessert,632.62,432.25,Available
PROD00069,REST0052,Food Item 0069,Rice,1125.65,598.23,Available
PROD00070,REST0012,Food Item 0070,Chicken,546.43,269.96,Available
PROD00071,REST0019,Food Item 0071,Biryani,582.43,313.08,Available
PROD00072,REST0096,Food Item 0072,Biryani,744.84,448.59,Available
PROD00073,REST0075,Food Item 0073,Rice,619.97,342.62,Unavailable
PROD00074,REST0097,Food Item 0074,Pizza,302.09,187.45,Available
PROD00075,REST0002,Food Item 0075,Snacks,140.04,65.26,Unavailable
PROD00076,REST0055,Food Item 0076,Rice,778.6,469.44,Available
PROD00077,REST0015,Food Item 0077,Snacks,1114.47,624.54,Available
PROD00078,REST0064,Food Item 0078,Biryani,234.87,143.36,Available
PROD00079,REST0100,Food Item 0079,Dessert,347.83,200.61,Available
PROD00080,REST0069,Food Item 0080,Pizza,519.85,278.26,Available
PROD00081,REST0015,Food Item 0081,Drinks,993.44,716.5,Unavailable
PROD00082,REST0043,Food Item 0082,Biryani,410.8,207.63,Available
PROD00083,REST0074,Food Item 0083,Rice,1072.62,701.93,Available
PROD00084,REST0017,Food Item 0084,Snacks,179.35,130.46,Available
PROD00085,REST0098,Food Item 0085,Snacks,1136.23,694.92,Available
PROD00086,REST0024,Food Item 0086,Biryani,725.61,517.3,Available
PROD00087,REST0074,Food Item 0087,Biryani,831.48,405.31,Unavailable
PROD00088,REST0030,Food Item 0088,Dessert,517.1,309.3,Available
PROD00089,REST0067,Food Item 0089,Dessert,964.55,566.29,Available
PROD00090,REST0051,Food Item 0090,Curry,299.89,135.68,Available
PROD00091,REST0060,Food Item 0091,Rice,172.82,100.75,Available
PROD00092,REST0003,Food Item 0092,Burger,547.16,306.8,Available
PROD00093,REST0005,Food Item 0093,Rice,1041.99,678.27,Available
PROD00094,REST0028,Food Item 0094,Dessert,935.32,684.19,Available
PROD00095,REST0078,Food Item 0095,Curry,678.53,322.8,Available
PROD00096,REST0011,Food Item 0096,Pizza,737.91,404.55,Unavailable
PROD00097,REST0072,Food Item 0097,Biryani,260.28,151.8,Unavailable
PROD00098,REST0072,Food Item 0098,Chicken,1027.94,602.94,Available
PROD00099,REST0076,Food Item 0099,Rice,969.92,661.92,Available
PROD00100,REST0015,Food Item 0100,Rice,828.99,483.32,Available
PROD00101,REST0083,Food Item 0101,Noodles,623.49,285.65,Available
PROD00102,REST0048,Food Item 0102,Dessert,1161.62,770.19,Available
PROD00103,REST0046,Food Item 0103,Chicken,1069.35,765.07,Available
PROD00104,REST0028,Food Item 0104,Drinks,815.98,492.99,Available
PROD00105,REST0007,Food Item 0105,Noodles,521.55,325.62,Available
PROD00106,REST0071,Food Item 0106,Burger,787.46,392.85,Available
PROD00107,REST0094,Food Item 0107,Rice,741.48,382.75,Available
PROD00108,REST0082,Food Item 0108,Curry,545.78,284.11,Available
PROD00109,REST0088,Food Item 0109,Curry,451.21,261.35,Available
PROD00110,REST0006,Food Item 0110,Drinks,559.57,407.62,Available
PROD00111,REST0058,Food Item 0111,Snacks,739.82,448.73,Available
PROD00112,REST0068,Food Item 0112,Noodles,582.39,295.64,Available
PROD00113,REST0055,Food Item 0113,Noodles,404.66,214.4,Available
PROD00114,REST0067,Food Item 0114,Curry,941.84,532.33,Available
PROD00115,REST0049,Food Item 0115,Curry,693.98,442.05,Available
PROD00116,REST0051,Food Item 0116,Biryani,193.09,112.38,Available
PROD00117,REST0059,Food Item 0117,Curry,517.78,293.96,Unavailable
PROD00118,REST0006,Food Item 0118,Dessert,1075.71,666.31,Available
PROD00119,REST0090,Food Item 0119,Curry,935.66,488.93,Unavailable
PROD00120,REST0051,Food Item 0120,Noodles,469.11,222.2,Available
PROD00121,REST0038,Food Item 0121,Biryani,1133.24,518.26,Available
PROD00122,REST0011,Food Item 0122,Burger,202.73,106.51,Unavailable
PROD00123,REST0052,Food Item 0123,Noodles,1158.13,552.98,Available
PROD00124,REST0093,Food Item 0124,Curry,385.36,212.3,Available
PROD00125,REST0020,Food Item 0125,Curry,129.82,88.52,Available
PROD00126,REST0010,Food Item 0126,Curry,588.51,391.29,Available
PROD00127,REST0026,Food Item 0127,Biryani,507.69,321.51,Unavailable
PROD00128,REST0048,Food Item 0128,Rice,702.22,495.59,Available
PROD00129,REST0091,Food Item 0129,Biryani,980.51,524.2,Available
PROD00130,REST0014,Food Item 0130,Pizza,1029.83,736.86,Available
PROD00131,REST0100,Food Item 0131,Dessert,553.33,315.27,Available
PROD00132,REST0059,Food Item 0132,Chicken,584.23,333.17,Available
PROD00133,REST0012,Food Item 0133,Dessert,280.03,160.07,Available
PROD00134,REST0023,Food Item 0134,Curry,171.35,82.15,Available
PROD00135,REST0085,Food Item 0135,Chicken,812.51,603.41,Available
PROD00136,REST0072,Food Item 0136,Burger,189.59,93.19,Available
PROD00137,REST0039,Food Item 0137,Snacks,912.54,503.96,Available
PROD00138,REST0009,Food Item 0138,Noodles,702.22,383.26,Available
PROD00139,REST0088,Food Item 0139,Rice,334.47,158.0,Available
PROD00140,REST0095,Food Item 0140,Snacks,702.68,348.3,Available
PROD00141,REST0025,Food Item 0141,Biryani,317.64,147.21,Unavailable
PROD00142,REST0017,Food Item 0142,Pizza,593.84,319.32,Available
PROD00143,REST0042,Food Item 0143,Drinks,983.53,698.3,Available
PROD00144,REST0029,Food Item 0144,Dessert,618.87,341.51,Available
PROD00145,REST0060,Food Item 0145,Snacks,280.6,136.68,Available
PROD00146,REST0067,Food Item 0146,Pizza,901.73,580.45,Available
PROD00147,REST0085,Food Item 0147,Curry,321.71,240.95,Available
PROD00148,REST0057,Food Item 0148,Biryani,917.63,476.89,Available
PROD00149,REST0072,Food Item 0149,Biryani,637.7,340.45,Available
PROD00150,REST0014,Food Item 0150,Noodles,610.04,452.38,Available
PROD00151,REST0039,Food Item 0151,Chicken,1039.55,523.55,Available
PROD00152,REST0016,Food Item 0152,Chicken,885.29,534.15,Available
PROD00153,REST0018,Food Item 0153,Snacks,155.54,81.18,Available
PROD00154,REST0095,Food Item 0154,Burger,439.87,320.98,Available
PROD00155,REST0075,Food Item 0155,Chicken,1060.59,789.56,Available
PROD00156,REST0020,Food Item 0156,Chicken,139.79,97.07,Available
PROD00157,REST0046,Food Item 0157,Curry,708.87,385.93,Available
PROD00158,REST0045,Food Item 0158,Curry,906.05,517.4,Available
PROD00159,REST0004,Food Item 0159,Pizza,791.6,413.76,Available
PROD00160,REST0084,Food Item 0160,Biryani,941.37,675.18,Available
PROD00161,REST0095,Food Item 0161,Biryani,903.75,654.65,Available
PROD00162,REST0020,Food Item 0162,Biryani,867.39,499.32,Available
PROD00163,REST0011,Food Item 0163,Pizza,1007.26,651.66,Unavailable
PROD00164,REST0065,Food Item 0164,Drinks,817.35,408.4,Available
PROD00165,REST0018,Food Item 0165,Curry,554.61,321.94,Available
PROD00166,REST0039,Food Item 0166,Pizza,629.66,402.64,Available
PROD00167,REST0044,Food Item 0167,Biryani,894.06,505.7,Available
PROD00168,REST0097,Food Item 0168,Snacks,1066.41,594.29,Available
PROD00169,REST0100,Food Item 0169,Curry,414.0,186.42,Unavailable
PROD00170,REST0018,Food Item 0170,Rice,489.44,338.34,Available
PROD00171,REST0047,Food Item 0171,Chicken,1125.2,806.54,Available
PROD00172,REST0031,Food Item 0172,Curry,744.79,551.77,Available
PROD00173,REST0099,Food Item 0173,Curry,313.28,208.58,Available
PROD00174,REST0039,Food Item 0174,Biryani,836.79,514.32,Available
PROD00175,REST0038,Food Item 0175,Dessert,1190.02,631.65,Available
PROD00176,REST0079,Food Item 0176,Drinks,1009.33,756.79,Available
PROD00177,REST0047,Food Item 0177,Curry,925.4,580.16,Available
PROD00178,REST0070,Food Item 0178,Pizza,344.69,225.55,Available
PROD00179,REST0008,Food Item 0179,Burger,1066.23,698.08,Available
PROD00180,REST0086,Food Item 0180,Biryani,687.85,483.95,Available
PROD00181,REST0065,Food Item 0181,Biryani,1080.43,489.33,Available
PROD00182,REST0013,Food Item 0182,Dessert,476.21,245.76,Available
PROD00183,REST0055,Food Item 0183,Noodles,187.02,121.5,Available
PROD00184,REST0088,Food Item 0184,Burger,634.05,455.59,Available
PROD00185,REST0085,Food Item 0185,Rice,411.42,269.73,Available
PROD00186,REST0043,Food Item 0186,Chicken,892.45,512.31,Available
PROD00187,REST0004,Food Item 0187,Noodles,1153.68,644.29,Available
PROD00188,REST0071,Food Item 0188,Snacks,866.25,581.59,Available
PROD00189,REST0060,Food Item 0189,Curry,1077.89,724.74,Unavailable
PROD00190,REST0012,Food Item 0190,Snacks,609.27,385.13,Available
PROD00191,REST0059,Food Item 0191,Rice,953.37,512.38,Unavailable
PROD00192,REST0077,Food Item 0192,Pizza,1030.49,749.73,Unavailable
PROD00193,REST0054,Food Item 0193,Drinks,887.75,546.47,Unavailable
PROD00194,REST0044,Food Item 0194,Pizza,668.4,459.29,Available
PROD00195,REST0016,Food Item 0195,Pizza,795.94,409.35,Available
PROD00196,REST0006,Food Item 0196,Pizza,876.55,484.92,Available
PROD00197,REST0014,Food Item 0197,Burger,393.33,280.2,Available
PROD00198,REST0058,Food Item 0198,Biryani,994.35,462.4,Available
PROD00199,REST0031,Food Item 0199,Curry,1146.35,692.05,Available
PROD00200,REST0100,Food Item 0200,Chicken,622.46,370.06,Available
PROD00201,REST0041,Food Item 0201,Burger,877.15,592.4,Available
PROD00202,REST0035,Food Item 0202,Noodles,915.99,489.66,Available
PROD00203,REST0010,Food Item 0203,Noodles,835.23,430.74,Unavailable
PROD00204,REST0081,Food Item 0204,Burger,710.88,517.41,Available
PROD00205,REST0030,Food Item 0205,Rice,1072.18,666.37,Available
PROD00206,REST0044,Food Item 0206,Snacks,604.84,291.17,Available
PROD00207,REST0055,Food Item 0207,Burger,185.99,94.47,Available
PROD00208,REST0071,Food Item 0208,Burger,1032.12,773.73,Available
PROD00209,REST0018,Food Item 0209,Chicken,847.9,431.31,Available
PROD00210,REST0083,Food Item 0210,Chicken,1037.2,656.7,Unavailable
PROD00211,REST0079,Food Item 0211,Biryani,269.63,155.32,Available
PROD00212,REST0086,Food Item 0212,Chicken,153.21,109.65,Available
PROD00213,REST0039,Food Item 0213,Biryani,1129.12,763.91,Unavailable
PROD00214,REST0042,Food Item 0214,Pizza,279.55,175.86,Available
PROD00215,REST0054,Food Item 0215,Snacks,994.42,450.69,Unavailable
PROD00216,REST0030,Food Item 0216,Rice,1009.07,720.41,Unavailable
PROD00217,REST0020,Food Item 0217,Snacks,885.4,516.54,Available
PROD00218,REST0096,Food Item 0218,Biryani,261.76,190.95,Available
PROD00219,REST0042,Food Item 0219,Chicken,840.79,503.35,Unavailable
PROD00220,REST0089,Food Item 0220,Burger,1080.21,711.07,Available
PROD00221,REST0087,Food Item 0221,Curry,579.57,272.85,Unavailable
PROD00222,REST0005,Food Item 0222,Pizza,566.6,381.63,Available
PROD00223,REST0050,Food Item 0223,Dessert,598.29,329.9,Available
PROD00224,REST0041,Food Item 0224,Noodles,208.85,116.0,Available
PROD00225,REST0094,Food Item 0225,Biryani,1083.39,526.09,Available
PROD00226,REST0039,Food Item 0226,Snacks,1058.72,523.07,Available
PROD00227,REST0057,Food Item 0227,Chicken,1197.74,605.73,Available
PROD00228,REST0091,Food Item 0228,Pizza,752.0,412.44,Available
PROD00229,REST0057,Food Item 0229,Noodles,931.29,668.29,Unavailable
PROD00230,REST0037,Food Item 0230,Dessert,338.89,189.94,Available
PROD00231,REST0007,Food Item 0231,Burger,840.93,561.16,Available
PROD00232,REST0005,Food Item 0232,Burger,821.71,390.17,Available
PROD00233,REST0079,Food Item 0233,Biryani,1093.31,685.87,Available
PROD00234,REST0051,Food Item 0234,Biryani,1017.26,604.83,Unavailable
PROD00235,REST0008,Food Item 0235,Chicken,1133.54,842.66,Available
PROD00236,REST0056,Food Item 0236,Curry,1058.34,744.93,Available
PROD00237,REST0073,Food Item 0237,Chicken,1058.19,620.57,Unavailable
PROD00238,REST0011,Food Item 0238,Rice,188.82,128.88,Available
PROD00239,REST0022,Food Item 0239,Pizza,1033.64,525.0,Available
PROD00240,REST0098,Food Item 0240,Pizza,776.08,480.16,Available
PROD00241,REST0099,Food Item 0241,Snacks,530.88,250.78,Unavailable
PROD00242,REST0077,Food Item 0242,Burger,181.04,100.37,Available
PROD00243,REST0011,Food Item 0243,Drinks,851.89,441.07,Available
PROD00244,REST0060,Food Item 0244,Chicken,474.46,315.84,Available
PROD00245,REST0096,Food Item 0245,Snacks,625.2,373.26,Available
PROD00246,REST0015,Food Item 0246,Biryani,856.27,578.26,Available
PROD00247,REST0038,Food Item 0247,Pizza,1104.72,667.9,Available
PROD00248,REST0001,Food Item 0248,Biryani,1011.47,481.4,Unavailable
PROD00249,REST0046,Food Item 0249,Chicken,606.64,406.82,Available
PROD00250,REST0088,Food Item 0250,Noodles,538.81,377.15,Unavailable
PROD00251,REST0043,Food Item 0251,Biryani,378.96,273.25,Available
PROD00252,REST0022,Food Item 0252,Drinks,522.22,324.61,Available
PROD00253,REST0003,Food Item 0253,Pizza,239.93,162.21,Unavailable
PROD00254,REST0014,Food Item 0254,Chicken,1168.79,789.65,Available
PROD00255,REST0002,Food Item 0255,Snacks,739.83,367.49,Available
PROD00256,REST0061,Food Item 0256,Curry,258.03,128.83,Available
PROD00257,REST0032,Food Item 0257,Curry,501.03,236.12,Available
PROD00258,REST0038,Food Item 0258,Chicken,710.8,388.08,Available
PROD00259,REST0097,Food Item 0259,Curry,695.52,411.78,Available
PROD00260,REST0046,Food Item 0260,Pizza,158.34,118.66,Available
PROD00261,REST0042,Food Item 0261,Noodles,1146.91,664.4,Available
PROD00262,REST0006,Food Item 0262,Biryani,417.41,278.78,Unavailable
PROD00263,REST0041,Food Item 0263,Drinks,137.48,90.46,Available
PROD00264,REST0025,Food Item 0264,Dessert,202.56,103.58,Unavailable
PROD00265,REST0098,Food Item 0265,Snacks,746.61,349.08,Unavailable
PROD00266,REST0011,Food Item 0266,Pizza,268.81,165.0,Available
PROD00267,REST0041,Food Item 0267,Burger,165.06,108.95,Available
PROD00268,REST0071,Food Item 0268,Rice,530.0,397.22,Unavailable
PROD00269,REST0057,Food Item 0269,Rice,792.58,441.93,Available
PROD00270,REST0046,Food Item 0270,Snacks,240.79,173.11,Unavailable
PROD00271,REST0086,Food Item 0271,Pizza,458.39,258.8,Available
PROD00272,REST0048,Food Item 0272,Chicken,571.18,375.16,Available
PROD00273,REST0063,Food Item 0273,Biryani,292.22,183.95,Available
PROD00274,REST0039,Food Item 0274,Chicken,666.56,310.55,Available
PROD00275,REST0010,Food Item 0275,Chicken,212.03,100.4,Available
PROD00276,REST0085,Food Item 0276,Burger,170.24,77.67,Unavailable
PROD00277,REST0070,Food Item 0277,Curry,681.42,382.45,Available
PROD00278,REST0065,Food Item 0278,Rice,387.73,261.23,Available
PROD00279,REST0098,Food Item 0279,Dessert,223.0,111.91,Unavailable
PROD00280,REST0059,Food Item 0280,Dessert,577.83,365.05,Unavailable
PROD00281,REST0078,Food Item 0281,Biryani,1108.35,594.79,Available
PROD00282,REST0036,Food Item 0282,Rice,902.13,621.66,Unavailable
PROD00283,REST0027,Food Item 0283,Burger,1000.87,690.12,Available
PROD00284,REST0073,Food Item 0284,Snacks,1061.67,724.72,Available
PROD00285,REST0055,Food Item 0285,Pizza,1170.44,710.98,Available
PROD00286,REST0070,Food Item 0286,Chicken,944.31,505.56,Unavailable
PROD00287,REST0095,Food Item 0287,Chicken,777.08,538.39,Unavailable
PROD00288,REST0081,Food Item 0288,Drinks,514.66,260.33,Available
PROD00289,REST0053,Food Item 0289,Snacks,316.17,169.76,Unavailable
PROD00290,REST0060,Food Item 0290,Drinks,861.59,435.26,Unavailable
PROD00291,REST0061,Food Item 0291,Drinks,1194.55,779.16,Available
PROD00292,REST0036,Food Item 0292,Curry,624.75,409.76,Available
PROD00293,REST0085,Food Item 0293,Dessert,901.57,582.19,Available
PROD00294,REST0027,Food Item 0294,Drinks,654.7,376.24,Available
PROD00295,REST0041,Food Item 0295,Chicken,586.49,281.55,Unavailable
PROD00296,REST0028,Food Item 0296,Rice,563.13,407.34,Unavailable
PROD00297,REST0016,Food Item 0297,Rice,664.99,400.54,Available
PROD00298,REST0035,Food Item 0298,Curry,516.25,295.34,Available
PROD00299,REST0036,Food Item 0299,Rice,928.68,581.95,Available
PROD00300,REST0056,Food Item 0300,Chicken,1064.21,540.45,Available
PROD00301,REST0099,Food Item 0301,Dessert,1073.52,525.77,Available
PROD00302,REST0019,Food Item 0302,Dessert,365.91,209.18,Available
PROD00303,REST0057,Food Item 0303,Dessert,1087.58,563.55,Available
PROD00304,REST0085,Food Item 0304,Pizza,488.88,255.82,Available
PROD00305,REST0033,Food Item 0305,Snacks,454.05,325.9,Unavailable
PROD00306,REST0023,Food Item 0306,Pizza,904.9,551.29,Available
PROD00307,REST0063,Food Item 0307,Pizza,449.07,267.21,Available
PROD00308,REST0070,Food Item 0308,Pizza,177.2,116.39,Unavailable
PROD00309,REST0096,Food Item 0309,Rice,523.51,385.02,Available
PROD00310,REST0022,Food Item 0310,Noodles,899.18,434.9,Available
PROD00311,REST0067,Food Item 0311,Rice,473.12,331.21,Available
PROD00312,REST0099,Food Item 0312,Noodles,799.92,500.11,Available
PROD00313,REST0080,Food Item 0313,Rice,832.93,411.34,Available
PROD00314,REST0059,Food Item 0314,Chicken,912.43,491.93,Unavailable
PROD00315,REST0025,Food Item 0315,Snacks,1088.9,647.58,Available
PROD00316,REST0017,Food Item 0316,Burger,587.17,385.98,Available
PROD00317,REST0039,Food Item 0317,Burger,299.75,156.7,Available
PROD00318,REST0077,Food Item 0318,Pizza,464.44,283.52,Available
PROD00319,REST0092,Food Item 0319,Burger,586.74,384.55,Available
PROD00320,REST0075,Food Item 0320,Snacks,891.0,520.9,Available
PROD00321,REST0074,Food Item 0321,Snacks,134.17,95.11,Unavailable
PROD00322,REST0039,Food Item 0322,Biryani,461.05,327.73,Available
PROD00323,REST0024,Food Item 0323,Curry,962.23,568.88,Unavailable
PROD00324,REST0038,Food Item 0324,Snacks,844.53,626.54,Unavailable
PROD00325,REST0088,Food Item 0325,Curry,910.28,430.27,Available
PROD00326,REST0097,Food Item 0326,Burger,996.76,449.55,Available
PROD00327,REST0081,Food Item 0327,Curry,965.89,544.96,Unavailable
PROD00328,REST0057,Food Item 0328,Noodles,856.76,540.04,Available
PROD00329,REST0044,Food Item 0329,Chicken,594.83,379.95,Available
PROD00330,REST0036,Food Item 0330,Curry,1182.29,701.02,Available
PROD00331,REST0099,Food Item 0331,Chicken,734.6,358.09,Available
PROD00332,REST0070,Food Item 0332,Pizza,338.99,169.88,Available
PROD00333,REST0080,Food Item 0333,Burger,436.24,307.83,Available
PROD00334,REST0045,Food Item 0334,Chicken,869.05,617.35,Available
PROD00335,REST0092,Food Item 0335,Drinks,1118.72,729.6,Available
PROD00336,REST0096,Food Item 0336,Pizza,313.02,203.23,Available
PROD00337,REST0026,Food Item 0337,Chicken,208.93,131.48,Unavailable
PROD00338,REST0011,Food Item 0338,Biryani,1072.05,547.69,Unavailable
PROD00339,REST0052,Food Item 0339,Curry,1108.5,641.24,Unavailable
PROD00340,REST0025,Food Item 0340,Biryani,418.49,275.69,Unavailable
PROD00341,REST0031,Food Item 0341,Snacks,527.47,322.38,Available
PROD00342,REST0085,Food Item 0342,Noodles,833.0,379.49,Available
PROD00343,REST0045,Food Item 0343,Pizza,476.32,350.6,Available
PROD00344,REST0067,Food Item 0344,Dessert,1067.33,750.81,Available
PROD00345,REST0076,Food Item 0345,Dessert,236.18,124.74,Unavailable
PROD00346,REST0040,Food Item 0346,Chicken,161.02,102.24,Available
PROD00347,REST0046,Food Item 0347,Curry,345.17,250.93,Available
PROD00348,REST0054,Food Item 0348,Burger,428.97,205.39,Unavailable
PROD00349,REST0041,Food Item 0349,Dessert,241.96,145.4,Unavailable
PROD00350,REST0089,Food Item 0350,Burger,190.95,112.06,Available
PROD00351,REST0081,Food Item 0351,Dessert,936.06,536.42,Available
PROD00352,REST0038,Food Item 0352,Pizza,297.42,208.4,Unavailable
PROD00353,REST0100,Food Item 0353,Dessert,1107.04,624.59,Available
PROD00354,REST0036,Food Item 0354,Snacks,517.44,242.73,Available
PROD00355,REST0083,Food Item 0355,Rice,844.25,396.59,Available
PROD00356,REST0044,Food Item 0356,Chicken,363.43,168.2,Available
PROD00357,REST0057,Food Item 0357,Noodles,379.55,217.38,Available
PROD00358,REST0066,Food Item 0358,Dessert,740.69,492.95,Unavailable
PROD00359,REST0081,Food Item 0359,Curry,725.49,370.81,Available
PROD00360,REST0030,Food Item 0360,Noodles,950.23,611.89,Available
PROD00361,REST0010,Food Item 0361,Burger,938.44,615.74,Unavailable
PROD00362,REST0099,Food Item 0362,Biryani,844.34,444.6,Available
PROD00363,REST0061,Food Item 0363,Snacks,605.06,381.29,Available
PROD00364,REST0063,Food Item 0364,Drinks,1081.89,709.14,Unavailable
PROD00365,REST0036,Food Item 0365,Drinks,792.38,467.49,Available
PROD00366,REST0054,Food Item 0366,Noodles,1189.41,655.38,Available
PROD00367,REST0097,Food Item 0367,Biryani,1004.92,638.87,Unavailable
PROD00368,REST0065,Food Item 0368,Curry,167.85,124.77,Unavailable
PROD00369,REST0082,Food Item 0369,Noodles,466.24,269.51,Available
PROD00370,REST0004,Food Item 0370,Burger,737.63,418.62,Unavailable
PROD00371,REST0055,Food Item 0371,Pizza,899.19,529.87,Available
PROD00372,REST0054,Food Item 0372,Noodles,714.36,337.8,Available
PROD00373,REST0091,Food Item 0373,Drinks,969.02,596.87,Unavailable
PROD00374,REST0089,Food Item 0374,Rice,425.27,233.31,Unavailable
PROD00375,REST0064,Food Item 0375,Drinks,318.63,154.99,Available
PROD00376,REST0092,Food Item 0376,Biryani,178.23,105.13,Unavailable
PROD00377,REST0022,Food Item 0377,Burger,739.18,333.38,Unavailable
PROD00378,REST0025,Food Item 0378,Curry,863.69,492.77,Available
PROD00379,REST0081,Food Item 0379,Snacks,472.24,227.49,Available
PROD00380,REST0059,Food Item 0380,Chicken,782.67,357.91,Unavailable
PROD00381,REST0057,Food Item 0381,Rice,176.33,122.96,Unavailable
PROD00382,REST0054,Food Item 0382,Snacks,227.24,164.72,Available
PROD00383,REST0044,Food Item 0383,Noodles,877.9,449.75,Available
PROD00384,REST0052,Food Item 0384,Rice,517.52,316.61,Available
PROD00385,REST0076,Food Item 0385,Biryani,845.04,450.73,Unavailable
PROD00386,REST0016,Food Item 0386,Burger,1018.26,608.99,Available
PROD00387,REST0016,Food Item 0387,Curry,1040.83,604.71,Available
PROD00388,REST0081,Food Item 0388,Snacks,305.94,162.37,Available
PROD00389,REST0055,Food Item 0389,Noodles,645.19,425.9,Available
PROD00390,REST0061,Food Item 0390,Burger,912.64,445.32,Unavailable
PROD00391,REST0095,Food Item 0391,Noodles,955.9,445.37,Available
