restaurant_id,restaurant_name,cuisine_type,city,rating,commission_rate,joining_date
REST0086,Restaurant 086,Biryani,Rajshahi,3.53,0.12,2023-06-27
REST0087,Restaurant 087,Thai,Chattogram,4.27,0.15,2024-09-08
REST0088,Restaurant 088,Burger,Dhaka,4.04,0.1,2024-02-13
REST0089,Restaurant 089,Bengali,Sylhet,4.02,0.12,2025-08-05
REST0090,Restaurant 090,Desserts,Chattogram,3.38,0.15,2023-11-25
REST0091,Restaurant 091,Desserts,Chattogram,4.14,0.18,2025-06-21
REST0092,Restaurant 092,Bengali,Dhaka,4.29,0.18,2023-09-04
REST0093,Restaurant 093,Burger,Rangpur,4.55,0.12,2025-04-12
REST0094,Restaurant 094,Thai,Dhaka,3.87,0.1,2022-09-01
REST0095,Restaurant 095,Indian,Dhaka,3.73,0.15,2022-03-01
REST0096,Restaurant 096,Biryani,Mymensingh,3.87,0.18,2022-04-14
REST0097,Restaurant 097,Korean,Barishal,4.52,0.18,2023-10-13
REST0098,Restaurant 098,Korean,Dhaka,4.72,0.1,2025-08-19
REST0099,Restaurant 099,Burger,Rangpur,4.6,0.12,2024-10-07
REST0100,Restaurant 100,Desserts,Dhaka,4.39,0.2,2022-03-18
