order_id,customer_id,restaurant_id,order_date,order_time,order_status,payment_method,subtotal,delivery_fee,discount,total_amount
ORD000029,CUST03135,REST0014,2025-10-03,10:09,Delivered,Cash,501.88,47.97,125.47,424.38
ORD000030,CUST04001,REST0073,2025-04-21,16:21,Delivered,Nagad,1198.73,131.71,56.94,1273.5
ORD000031,CUST01933,REST0078,2025-11-13,20:41,Delivered,bKash,378.78,100.42,94.7,384.5
ORD000032,CUST01421,REST0080,2025-05-21,16:58,Delivered,bKash,1238.74,130.52,214.54,1154.72
ORD000033,CUST04897,REST0094,2025-08-21,14:28,Delivered,Nagad,1193.65,37.1,70.38,1160.37
ORD000034,CUST00123,REST0096,2025-01-23,21:48,Delivered,Nagad,1114.56,40.95,32.12,1123.39
ORD000035,CUST02318,REST0070,2025-03-20,18:16,Delivered,bKash,638.94,128.36,50.78,716.52
ORD000036,CUST00686,REST0017,2025-01-31,21:27,Delivered,Card,867.86,95.99,191.41,772.44
ORD000037,CUST01662,REST0001,2025-01-04,12:39,Delivered,Cash,1438.86,111.09,166.88,1383.07
ORD000038,CUST01921,REST0018,2025-04-28,10:57,Delivered,Cash,293.7,131.9,73.42,352.18
ORD000039,CUST02876,REST0075,2025-03-07,14:22,Delivered,Nagad,1311.32,132.34,159.03,1284.63
ORD000040,CUST03633,REST0011,2025-10-14,13:43,Delivered,bKash,487.61,118.69,24.79,581.51
ORD000041,CUST04432,REST0092,2025-06-25,15:00,Delivered,Card,1316.83,75.02,2.02,1389.83
ORD000042,CUST04957,REST0012,2025-05-03,11:41,Delivered,bKash,299.42,79.34,74.86,303.9
ORD000043,CUST03901,REST0034,2025-08-19,14:01,Delivered,Nagad,755.61,133.31,188.9,700.02
ORD000044,CUST02164,REST0080,2025-02-12,17:16,Delivered,bKash,1603.8,73.12,43.76,1633.16
ORD000045,CUST02839,REST0074,2025-01-04,17:33,Delivered,Card,373.89,74.26,93.47,354.68
ORD000046,CUST03461,REST0008,2025-07-09,21:12,Delivered,bKash,1762.65,110.35,47.86,1825.14
ORD000047,CUST01920,REST0090,2025-10-31,11:06,Delivered,Nagad,1482.64,82.13,92.3,1472.47
ORD000048,CUST02098,REST0042,2025-09-07,12:25,Cancelled,bKash,1362.94,46.0,116.91,1292.03
ORD000049,CUST01172,REST0014,2025-05-24,18:57,Delivered,Nagad,1021.51,129.65,80.14,1071.02
ORD000050,CUST00555,REST0051,2025-12-11,20:27,Delivered,bKash,1118.63,129.09,233.87,1013.85
ORD000051,CUST03208,REST0009,2025-11-29,20:06,Delivered,Card,1558.6,98.74,118.16,1539.18
ORD000052,CUST03290,REST0083,2025-06-07,16:58,Delivered,Cash,1478.51,111.13,176.37,1413.27
ORD000053,CUST04009,REST0098,2025-03-06,18:08,Delivered,Cash,1391.21,149.74,225.73,1315.22
ORD000054,CUST04602,REST0038,2025-11-21,22:46,Delivered,Nagad,556.24,124.56,54.92,625.88
ORD000055,CUST01817,REST0029,2025-09-27,13:24,Delivered,bKash,640.6,104.77,160.15,585.22
ORD000056,CUST01878,REST0029,2025-03-16,20:40,Delivered,bKash,1663.77,68.13,87.19,1644.71
ORD000057,CUST00189,REST0028,2025-01-29,16:38,Delivered,bKash,760.82,74.28,86.98,748.12
ORD000058,CUST01441,REST0088,2025-12-01,16:43,Delivered,Card,720.9,40.9,180.22,581.58
ORD000059,CUST01221,REST0092,2025-08-26,22:07,Delivered,Card,651.84,115.09,162.96,603.97
ORD000060,CUST02598,REST0076,2025-06-02,16:06,Delivered,Cash,1530.65,83.08,116.02,1497.71
ORD000061,CUST02869,REST0083,2025-04-04,19:05,Delivered,bKash,332.56,131.03,42.33,421.26
ORD000062,CUST02062,REST0006,2025-08-25,20:09,Delivered,bKash,1721.12,97.2,248.66,1569.66
ORD000063,CUST02908,REST0002,2025-11-18,22:26,Delivered,bKash,1618.83,70.86,245.41,1444.28
ORD000064,CUST01716,REST0053,2025-04-25,14:19,Delivered,Nagad,577.2,68.47,24.79,620.88
ORD000065,CUST03536,REST0031,2025-10-23,15:02,Delivered,bKash,864.54,97.24,95.69,866.09
ORD000066,CUST00612,REST0037,2025-08-07,13:52,Delivered,Nagad,520.11,45.05,130.03,435.13
ORD000067,CUST02510,REST0056,2025-09-03,20:29,Delivered,Cash,626.65,95.49,26.92,695.22
ORD000068,CUST02926,REST0093,2025-02-01,18:29,Delivered,Cash,1276.54,113.64,184.59,1205.59
ORD000069,CUST00284,REST0040,2025-01-20,13:31,Delivered,bKash,454.71,65.36,70.0,450.07
ORD000070,CUST02671,REST0012,2025-02-22,18:30,Delivered,bKash,375.58,42.0,23.34,394.24
ORD000071,CUST04095,REST0055,2025-07-25,18:20,Delivered,Card,1571.23,121.17,244.88,1447.52
ORD000072,CUST01628,REST0097,2025-08-07,14:19,Delivered,bKash,1027.26,70.89,241.38,856.77
ORD000073,CUST01612,REST0057,2025-07-14,18:11,Delivered,bKash,1113.55,53.56,37.58,1129.53
ORD000074,CUST00717,REST0045,2025-11-01,18:34,Delivered,bKash,1355.01,108.72,134.98,1328.75
ORD000075,CUST04630,REST0025,2025-07-14,21:51,Delivered,Cash,493.55,38.27,123.39,408.43
ORD000076,CUST00682,REST0042,2025-12-11,12:17,Delivered,bKash,1493.75,52.95,163.78,1382.92
ORD000077,CUST03440,REST0018,2025-03-23,21:22,Delivered,bKash,446.32,47.8,47.34,446.78
ORD000078,CUST04257,REST0030,2025-01-01,22:59,Delivered,bKash,1277.16,56.65,105.04,1228.77
ORD000079,CUST04270,REST0018,2025-06-16,12:27,Delivered,Nagad,749.52,142.12,78.15,813.49
ORD000080,CUST01523,REST0007,2025-11-13,13:13,Delivered,bKash,1798.42,30.51,209.76,1619.17
ORD000081,CUST01360,REST0079,2025-07-02,17:47,Delivered,bKash,948.64,105.82,221.16,833.3
ORD000082,CUST02074,REST0030,2025-12-16,12:07,Delivered,Nagad,1164.39,101.08,135.91,1129.56
ORD000083,CUST01790,REST0005,2025-09-30,11:15,Delivered,Card,292.42,132.82,43.45,381.79
ORD000084,CUST03576,REST0069,2025-06-06,21:57,Delivered,Nagad,986.79,80.5,219.11,848.18
ORD000085,CUST03371,REST0033,2025-12-28,15:48,Delivered,Cash,1594.17,89.59,218.33,1465.43
ORD000086,CUST02485,REST0006,2025-07-20,12:00,Delivered,bKash,1006.94,90.02,150.91,946.05
ORD000087,CUST01819,REST0048,2025-07-11,18:04,Delivered,Nagad,452.72,113.77,45.55,520.94
ORD000088,CUST02059,REST0004,2025-12-07,19:59,Delivered,Card,1378.39,121.64,170.29,1329.74
ORD000089,CUST02667,REST0013,2025-10-26,18:54,Delivered,bKash,1565.03,139.38,140.7,1563.71
ORD000090,CUST01434,REST0026,2025-03-17,19:04,Delivered,bKash,540.87,54.9,0.92,594.85
ORD000091,CUST03406,REST0049,2025-05-20,15:22,Delivered,Card,1766.04,118.48,239.18,1645.34
ORD000092,CUST03385,REST0020,2025-11-02,14:59,Delivered,Card,637.34,68.34,159.34,546.34
ORD000093,CUST03073,REST0032,2025-07-15,20:17,Delivered,bKash,648.83,125.22,162.21,611.84
ORD000094,CUST00523,REST0096,2025-03-02,11:34,Delivered,bKash,356.04,109.71,89.01,376.74
ORD000095,CUST01694,REST0065,2025-12-26,17:03,Delivered,bKash,1406.06,48.74,74.07,1380.73
ORD000096,CUST04184,REST0089,2025-11-03,12:52,Delivered,Cash,517.69,127.52,129.42,515.79
ORD000097,CUST02290,REST0089,2025-11-29,14:28,Delivered,bKash,1768.45,139.29,233.41,1674.33
ORD000098,CUST01156,REST0053,2025-12-20,19:15,Delivered,Card,1150.34,31.51,204.69,977.16
ORD000099,CUST00598,REST0065,2025-03-24,20:19,Delivered,Nagad,1081.81,139.88,246.61,975.08
ORD000100,CUST01646,REST0003,2025-11-30,13:22,Delivered,Nagad,1762.36,140.33,124.43,1778.26
ORD000101,CUST02159,REST0021,2025-01-05,12:04,Delivered,Nagad,921.47,113.23,180.52,854.18
ORD000102,CUST02337,REST0043,2025-08-07,20:47,Cancelled,bKash,821.39,74.92,173.94,722.37
ORD000103,CUST01858,REST0025,2025-09-11,12:36,Delivered,Card,1285.07,147.12,248.98,1183.21
ORD000104,CUST01715,REST0085,2025-03-29,18:49,Delivered,Cash,860.82,57.37,179.46,738.73
ORD000105,CUST03739,REST0067,2025-07-28,11:28,Delivered,bKash,540.41,116.52,34.17,622.76
ORD000106,CUST04897,REST0093,2025-06-29,12:00,Delivered,Nagad,778.78,41.24,118.36,701.66
ORD000107,CUST02785,REST0035,2025-07-27,14:00,Delivered,Nagad,1213.4,95.85,122.25,1187.0
ORD000108,CUST03177,REST0086,2025-09-30,20:30,Delivered,bKash,1531.76,107.28,170.84,1468.2
ORD000109,CUST00203,REST0023,2025-03-06,20:42,Delivered,Card,1761.33,54.47,225.6,1590.2
ORD000110,CUST02899,REST0013,2025-01-21,21:07,Delivered,Cash,629.6,134.95,127.9,636.65
ORD000111,CUST03573,REST0098,2025-06-26,13:32,Delivered,Cash,1134.79,37.79,198.54,974.04
ORD000112,CUST01265,REST0023,2025-12-29,21:40,Delivered,bKash,997.04,143.37,57.64,1082.77
ORD000113,CUST02460,REST0063,2025-01-22,18:49,Delivered,Card,1054.16,144.38,111.86,1086.68
ORD000114,CUST01238,REST0099,2025-11-21,14:59,Delivered,bKash,506.35,56.93,126.59,436.69
ORD000115,CUST01555,REST0083,2025-02-05,19:31,Delivered,Nagad,1175.53,39.3,93.13,1121.7
ORD000116,CUST03743,REST0015,2025-09-07,14:39,Delivered,Cash,1791.76,78.11,97.75,1772.12
ORD000117,CUST00053,REST0079,2025-05-29,16:17,Delivered,Nagad,804.07,117.38,11.15,910.3
ORD000118,CUST03583,REST0026,2025-03-14,13:07,Delivered,bKash,1055.46,69.85,247.8,877.51
ORD000119,CUST03160,REST0067,2025-04-01,14:24,Delivered,Nagad,1318.53,50.23,8.2,1360.56
ORD000120,CUST00672,REST0081,2025-06-25,10:39,Delivered,Cash,1727.66,132.89,77.69,1782.86
ORD000121,CUST04105,REST0094,2025-05-06,16:12,Delivered,Nagad,740.02,96.44,125.88,710.58
ORD000122,CUST00691,REST0061,2025-07-23,20:47,Delivered,Card,536.04,72.26,61.42,546.88
ORD000123,CUST00083,REST0028,2025-09-03,13:47,Delivered,Cash,1343.68,119.28,183.97,1278.99
ORD000124,CUST04321,REST0034,2025-04-09,11:21,Delivered,Card,737.39,114.87,184.35,667.91
ORD000125,CUST03569,REST0016,2025-09-28,16:06,Delivered,Card,810.41,98.07,141.79,766.69
ORD000126,CUST02478,REST0043,2025-02-13,17:31,Delivered,Card,1699.56,109.44,115.03,1693.97
ORD000127,CUST01452,REST0011,2025-08-10,18:29,Delivered,Nagad,1326.78,46.28,218.48,1154.58
ORD000128,CUST02021,REST0024,2025-04-07,17:03,Delivered,bKash,1331.48,40.45,200.67,1171.26
ORD000129,CUST02126,REST0087,2025-02-05,17:35,Delivered,Card,1008.14,135.78,190.97,952.95
ORD000130,CUST01176,REST0025,2025-06-17,17:58,Cancelled,bKash,342.62,144.65,85.66,401.61
ORD000131,CUST01080,REST0077,2025-01-30,22:18,Delivered,Card,752.98,129.07,188.24,693.81
ORD000132,CUST02405,REST0019,2025-10-09,16:25,Delivered,Card,541.44,89.88,129.41,501.91
ORD000133,CUST01283,REST0034,2025-03-26,11:56,Delivered,Nagad,696.06,77.39,174.02,599.43
ORD000134,CUST00535,REST0066,2025-12-23,11:13,Delivered,bKash,1419.11,115.91,166.54,1368.48
ORD000135,CUST03849,REST0072,2025-05-01,21:52,Delivered,Nagad,300.43,89.47,39.67,350.23
ORD000136,CUST04667,REST0005,2025-10-14,20:14,Delivered,Card,638.47,51.68,85.07,605.08
ORD000137,CUST04674,REST0075,2025-09-05,18:07,Delivered,Card,788.0,89.56,76.44,801.12
ORD000138,CUST02454,REST0066,2025-07-03,22:34,Delivered,bKash,1057.2,79.7,196.26,940.64
ORD000139,CUST02163,REST0054,2025-09-10,22:11,Delivered,bKash,1075.71,36.7,207.63,904.78
ORD000140,CUST01827,REST0096,2025-09-30,10:03,Delivered,bKash,1191.21,99.2,105.83,1184.58
ORD000141,CUST03999,REST0024,2025-07-28,10:50,Delivered,Card,873.03,105.06,42.15,935.94
ORD000142,CUST03693,REST0076,2025-12-20,16:11,Delivered,Card,703.43,95.73,35.3,763.86
ORD000143,CUST01840,REST0080,2025-01-24,19:31,Delivered,Card,1584.07,147.02,218.47,1512.62
ORD000144,CUST04060,REST0051,2025-05-02,15:40,Delivered,bKash,611.03,96.16,10.2,696.99
ORD000145,CUST00331,REST0024,2025-08-13,15:32,Delivered,Nagad,802.9,99.01,116.21,785.7
ORD000146,CUST02773,REST0050,2025-05-03,17:09,Delivered,Nagad,1262.72,54.58,149.75,1167.55
ORD000147,CUST01528,REST0054,2025-10-21,20:24,Delivered,Nagad,1185.36,108.24,50.75,1242.85
ORD000148,CUST04184,REST0017,2025-06-22,20:42,Delivered,Card,1078.9,82.18,187.04,974.04
ORD000149,CUST00574,REST0096,2025-05-23,13:42,Delivered,Nagad,1055.96,130.13,96.89,1089.2
ORD000150,CUST03696,REST0084,2025-06-18,14:39,Delivered,Cash,1388.48,54.79,7.64,1435.63
ORD000151,CUST00524,REST0035,2025-02-26,14:16,Delivered,bKash,442.43,65.46,110.61,397.28
ORD000152,CUST01172,REST0030,2025-02-11,15:10,Delivered,bKash,929.95,58.74,132.98,855.71
ORD000153,CUST02554,REST0047,2025-11-05,10:57,Delivered,Card,1299.32,120.64,46.44,1373.52
ORD000154,CUST04180,REST0042,2025-04-29,13:41,Delivered,Card,1257.18,71.87,19.71,1309.34
ORD000155,CUST01422,REST0022,2025-05-01,12:51,Delivered,Cash,1669.36,38.89,54.71,1653.54
ORD000156,CUST02232,REST0031,2025-11-08,20:41,Delivered,bKash,1689.65,74.1,142.76,1620.99
ORD000157,CUST02217,REST0051,2025-09-08,20:44,Delivered,Card,597.28,100.83,149.32,548.79
ORD000158,CUST02156,REST0037,2025-12-09,16:48,Delivered,Card,319.38,93.7,79.84,333.24
ORD000159,CUST00852,REST0088,2025-11-28,21:30,Delivered,Cash,607.28,106.88,0.22,713.94
ORD000160,CUST01180,REST0088,2025-12-07,21:14,Delivered,Nagad,425.87,94.07,56.96,462.98
ORD000161,CUST03596,REST0013,2025-12-07,10:13,Delivered,Card,1453.83,112.65,44.48,1522.0
ORD000162,CUST04368,REST0089,2025-12-03,11:10,Delivered,Cash,1231.07,43.69,154.15,1120.61
ORD000163,CUST01860,REST0031,2025-07-01,21:10,Delivered,bKash,692.31,120.09,116.81,695.59
ORD000164,CUST00738,REST0100,2025-06-14,20:49,Delivered,Card,1706.43,75.04,20.38,1761.09
ORD000165,CUST02813,REST0014,2025-09-21,21:15,Delivered,bKash,1044.56,75.66,101.76,1018.46
ORD000166,CUST02793,REST0084,2025-07-29,17:41,Cancelled,Card,1224.71,89.22,248.58,1065.35
ORD000167,CUST02819,REST0039,2025-01-11,11:01,Delivered,bKash,794.78,130.57,182.57,742.78
ORD000168,CUST04895,REST0092,2025-07-01,21:26,Delivered,bKash,1766.91,34.7,45.84,1755.77
ORD000169,CUST02164,REST0089,2025-09-08,20:20,Delivered,Card,1319.06,38.2,5.68,1351.58
ORD000170,CUST03077,REST0038,2025-05-18,18:50,Delivered,bKash,1500.78,53.14,210.46,1343.46
ORD000171,CUST04162,REST0075,2025-08-06,13:39,Delivered,bKash,1177.3,34.21,107.46,1104.05
ORD000172,CUST00527,REST0018,2025-08-27,12:31,Delivered,Card,1649.98,123.46,65.76,1707.68
ORD000173,CUST00449,REST0039,2025-12-03,13:17,Delivered,Nagad,889.11,128.02,159.48,857.65
ORD000174,CUST03221,REST0083,2025-03-28,18:44,Delivered,Card,1659.98,146.2,161.35,1644.83
ORD000175,CUST04162,REST0067,2025-10-25,16:57,Delivered,Nagad,1673.39,131.14,32.9,1771.63
ORD000176,CUST01852,REST0041,2025-10-20,22:20,Delivered,Nagad,1631.66,54.55,93.2,1593.01
ORD000177,CUST00120,REST0046,2025-04-02,20:53,Delivered,Nagad,679.4,141.63,169.85,651.18
ORD000178,CUST04485,REST0049,2025-07-27,20:13,Delivered,bKash,719.81,111.04,11.74,819.11
ORD000179,CUST04383,REST0027,2025-07-23,13:09,Delivered,Cash,1559.22,64.02,85.92,1537.32
ORD000180,CUST02848,REST0023,2025-07-05,22:04,Delivered,bKash,1518.38,128.35,86.81,1559.92
ORD000181,CUST01791,REST0035,2025-03-26,16:00,Delivered,Card,461.15,94.84,27.97,528.02
ORD000182,CUST04514,REST0013,2025-11-11,17:14,Delivered,bKash,1026.92,76.7,29.65,1073.97
ORD000183,CUST03018,REST0026,2025-06-01,20:22,Delivered,bKash,1449.58,148.26,76.53,1521.31
ORD000184,CUST00351,REST0078,2025-06-05,20:53,Delivered,bKash,764.87,141.38,137.08,769.17
ORD000185,CUST02203,REST0035,2025-10-20,17:25,Delivered,Card,1562.61,72.19,130.0,1504.8
ORD000186,CUST03333,REST0041,2025-01-21,22:03,Delivered,Nagad,1102.45,145.9,116.02,1132.33
ORD000187,CUST01553,REST0006,2025-06-10,21:25,Delivered,bKash,436.62,135.23,109.16,462.69
ORD000188,CUST02251,REST0072,2025-12-05,15:22,Delivered,bKash,997.52,125.73,98.38,1024.87
ORD000189,CUST03238,REST0052,2025-06-05,20:27,Cancelled,bKash,494.45,103.54,123.61,474.38
ORD000190,CUST03510,REST0053,2025-05-23,20:46,Delivered,Nagad,276.36,127.2,69.09,334.47
ORD000191,CUST00048,REST0079,2025-09-14,10:42,Delivered,Nagad,725.7,60.82,181.42,605.1
ORD000192,CUST02277,REST0008,2025-04-17,19:12,Delivered,Card,1282.31,92.71,183.46,1191.56
ORD000193,CUST03797,REST0047,2025-10-11,20:15,Delivered,Cash,689.58,130.66,46.71,773.53
ORD000194,CUST04025,REST0080,2025-02-19,20:09,Delivered,bKash,1228.34,97.99,207.92,1118.41
ORD000195,CUST03185,REST0093,2025-02-04,12:54,Delivered,Nagad,574.44,52.28,113.02,513.7
ORD000196,CUST01893,REST0064,2025-08-12,15:42,Delivered,Nagad,1558.33,103.3,5.67,1655.96
ORD000197,CUST00898,REST0034,2025-06-05,10:45,Delivered,Nagad,1687.4,138.29,213.06,1612.63
ORD000198,CUST01739,REST0029,2025-07-10,14:09,Delivered,bKash,1235.73,132.73,112.57,1255.89
ORD000199,CUST00969,REST0035,2025-07-03,11:56,Delivered,bKash,569.45,107.24,101.86,574.83
ORD000200,CUST03003,REST0048,2025-08-25,10:00,Pending,Nagad,1779.48,86.29,203.46,1662.31
ORD000201,CUST03161,REST0074,2025-10-24,19:21,Cancelled,bKash,1354.11,113.22,40.52,1426.81
ORD000202,CUST04742,REST0065,2025-11-19,21:59,Delivered,Cash,1756.82,140.36,176.52,1720.66
ORD000203,CUST04107,REST0069,2025-10-31,12:37,Delivered,bKash,1417.41,128.23,68.98,1476.66
ORD000204,CUST03099,REST0067,2025-12-08,22:27,Delivered,bKash,922.48,138.8,2.73,1058.55
ORD000205,CUST02504,REST0014,2025-02-27,11:05,Delivered,bKash,1635.96,80.36,97.88,1618.44
ORD000206,CUST01471,REST0046,2025-02-08,15:45,Delivered,bKash,673.41,36.08,117.04,592.45
ORD000207,CUST03500,REST0027,2025-08-29,15:27,Delivered,bKash,1084.38,101.67,141.07,1044.98
ORD000208,CUST03753,REST0046,2025-01-25,20:23,Delivered,Card,1332.18,97.79,85.25,1344.72
ORD000209,CUST03631,REST0029,2025-11-12,16:44,Delivered,Card,491.37,138.55,117.99,511.93
ORD000210,CUST02639,REST0001,2025-04-27,16:40,Delivered,Nagad,972.2,94.85,98.58,968.47
ORD000211,CUST02562,REST0082,2025-12-08,14:51,Delivered,Card,432.0,40.34,108.0,364.34
ORD000212,CUST04495,REST0003,2025-08-28,12:28,Delivered,Card,435.07,109.47,108.77,435.77
ORD000213,CUST03604,REST0026,2025-06-24,15:05,Delivered,Cash,1118.73,53.35,238.5,933.58
ORD000214,CUST00387,REST0021,2025-12-06,12:00,Cancelled,Nagad,351.39,90.64,63.77,378.26
ORD000215,CUST03674,REST0024,2025-08-16,14:28,Pending,bKash,1295.25,42.26,93.74,1243.77
ORD000216,CUST00138,REST0045,2025-09-10,12:04,Delivered,Cash,1172.11,83.52,154.96,1100.67
ORD000217,CUST03752,REST0084,2025-04-21,15:49,Delivered,bKash,1692.71,34.56,165.23,1562.04
ORD000218,CUST02701,REST0029,2025-08-29,13:56,Delivered,bKash,873.67,104.14,35.66,942.15
ORD000219,CUST04578,REST0018,2025-08-12,18:11,Delivered,Cash,1255.06,125.76,148.59,1232.23
ORD000220,CUST00300,REST0003,2025-10-25,11:53,Delivered,bKash,1183.8,40.95,103.7,1121.05
ORD000221,CUST00032,REST0051,2025-02-21,16:57,Delivered,Card,1119.77,111.0,12.74,1218.03
ORD000222,CUST02505,REST0097,2025-08-09,14:07,Delivered,Nagad,1100.55,106.01,154.73,1051.83
ORD000223,CUST00542,REST0018,2025-10-31,18:42,Delivered,bKash,1267.0,75.62,175.31,1167.31
ORD000224,CUST03457,REST0037,2025-10-15,19:06,Delivered,Card,299.7,104.27,74.92,329.05
ORD000225,CUST03404,REST0063,2025-06-01,14:05,Delivered,Cash,641.66,140.82,160.42,622.06
ORD000226,CUST02092,REST0085,2025-04-28,22:07,Delivered,Nagad,453.3,94.54,113.32,434.52
ORD000227,CUST00547,REST0019,2025-10-06,21:34,Delivered,Nagad,1251.71,62.78,213.88,1100.61
ORD000228,CUST00984,REST0023,2025-05-15,14:25,Delivered,bKash,1102.66,93.38,211.65,984.39
ORD000229,CUST04141,REST0084,2025-07-28,21:00,Delivered,bKash,1434.4,60.57,8.89,1486.08
ORD000230,CUST00380,REST0055,2025-05-07,11:26,Delivered,Nagad,1708.37,137.51,127.36,1718.52
ORD000231,CUST00497,REST0024,2025-10-20,12:27,Delivered,Nagad,1043.73,111.75,186.03,969.45
ORD000232,CUST01916,REST0083,2025-01-07,15:47,Delivered,Card,312.92,71.03,77.39,306.56
ORD000233,CUST02186,REST0026,2025-08-10,13:30,Delivered,Card,1270.21,115.13,123.47,1261.87
ORD000234,CUST04504,REST0097,2025-03-18,20:54,Delivered,bKash,550.57,70.58,137.64,483.51
ORD000235,CUST00185,REST0096,2025-12-04,12:41,Delivered,bKash,898.72,36.26,224.68,710.3
ORD000236,CUST00489,REST0054,2025-12-17,14:52,Delivered,bKash,1098.63,134.77,159.33,1074.07
ORD000237,CUST02066,REST0099,2025-10-05,18:49,Delivered,Card,1237.19,46.73,190.24,1093.68
ORD000238,CUST01721,REST0089,2025-11-30,12:51,Delivered,Card,895.47,96.7,192.25,799.92
ORD000239,CUST00171,REST0033,2025-12-04,16:47,Delivered,Nagad,1715.72,53.88,55.86,1713.74
ORD000240,CUST00400,REST0088,2025-08-15,18:09,Delivered,bKash,326.27,79.63,2.5,403.4
ORD000241,CUST03593,REST0057,2025-10-02,13:27,Delivered,bKash,1543.19,129.96,147.37,1525.78
ORD000242,CUST03653,REST0009,2025-12-17,16:11,Delivered,Nagad,1422.13,32.13,183.58,1270.68
ORD000243,CUST00239,REST0064,2025-10-22,20:57,Delivered,bKash,332.94,145.71,83.24,395.41
ORD000244,CUST01341,REST0075,2025-04-27,16:14,Delivered,Nagad,936.65,55.13,234.16,757.62
ORD000245,CUST04416,REST0085,2025-10-19,20:01,Delivered,bKash,340.73,142.49,61.21,422.01
ORD000246,CUST03622,REST0059,2025-09-28,12:17,Delivered,bKash,400.4,126.59,31.3,495.69
ORD000247,CUST02570,REST0081,2025-06-06,10:52,Delivered,bKash,359.56,58.8,89.89,328.47
ORD000248,CUST02576,REST0016,2025-03-01,13:43,Delivered,bKash,1232.38,47.42,89.17,1190.63
ORD000249,CUST01349,REST0005,2025-07-03,18:42,Delivered,bKash,862.97,87.06,215.74,734.29
ORD000250,CUST04855,REST0044,2025-05-24,19:22,Delivered,bKash,1605.82,59.62,77.78,1587.66
ORD000251,CUST02090,REST0046,2025-06-10,16:09,Delivered,Card,1332.24,84.31,81.0,1335.55
ORD000252,CUST00234,REST0010,2025-03-30,19:05,Delivered,bKash,1437.15,123.48,232.27,1328.36
ORD000253,CUST00556,REST0077,2025-01-16,15:58,Delivered,bKash,1099.6,51.76,102.5,1048.86
ORD000254,CUST02485,REST0058,2025-09-06,14:16,Delivered,Card,1411.68,108.3,83.59,1436.39
ORD000255,CUST01955,REST0070,2025-04-08,20:48,Delivered,Cash,1642.84,47.18,37.65,1652.37
ORD000256,CUST04772,REST0064,2025-04-14,19:57,Delivered,Nagad,1421.67,90.73,173.24,1339.16
