delivery_id,order_id,delivery_partner_id,pickup_time,delivery_time,estimated_minutes,actual_minutes,delivery_status,distance_km
DEL000092,ORD000093,RIDER0123,2025-07-15 05:49:00,2025-07-15 06:25:00,50,36,On Time,9.13
DEL000093,ORD000094,RIDER0257,2025-03-02 13:50:00,2025-03-02 14:19:00,34,29,On Time,12.52
DEL000094,ORD000095,RIDER0258,2025-12-26 19:06:00,2025-12-26 20:13:00,49,67,Late,5.81
DEL000095,ORD000096,RIDER0298,2025-11-03 02:08:00,2025-11-03 02:34:00,35,26,On Time,14.58
DEL000096,ORD000097,RIDER0164,2025-11-29 23:03:00,2025-11-29 23:23:00,31,20,On Time,9.87
DEL000097,ORD000098,RIDER0247,2025-12-20 15:00:00,2025-12-20 15:39:00,51,39,On Time,6.61
DEL000098,ORD000099,RIDER0004,2025-03-24 21:51:00,2025-03-24 22:40:00,57,49,On Time,8.19
DEL000099,ORD000100,RIDER0272,2025-11-30 18:14:00,2025-11-30 18:42:00,51,28,On Time,3.67
DEL000100,ORD000101,RIDER0047,2025-01-05 20:00:00,2025-01-05 20:18:00,50,18,On Time,9.48
DEL000101,ORD000102,RIDER0076,2025-08-07 17:00:00,2025-08-07 17:29:00,38,29,On Time,12.16
DEL000102,ORD000103,RIDER0223,2025-09-11 03:03:00,2025-09-11 03:23:00,29,20,On Time,14.62
DEL000103,ORD000104,RIDER0150,2025-03-29 20:47:00,2025-03-29 21:45:00,41,58,Late,12.9
DEL000104,ORD000105,RIDER0149,2025-07-28 13:12:00,2025-07-28 13:48:00,27,36,Late,3.08
DEL000105,ORD000106,RIDER0127,2025-06-29 04:27:00,2025-06-29 04:45:00,29,18,On Time,4.04
DEL000106,ORD000107,RIDER0152,2025-07-27 10:21:00,2025-07-27 10:57:00,40,36,On Time,13.96
DEL000107,ORD000108,RIDER0281,2025-09-30 14:47:00,2025-09-30 15:20:00,35,33,On Time,1.81
DEL000108,ORD000109,RIDER0055,2025-03-06 14:30:00,2025-03-06 15:24:00,60,54,On Time,5.24
DEL000109,ORD000110,RIDER0012,2025-01-21 21:27:00,2025-01-21 22:23:00,36,56,Late,3.57
DEL000110,ORD000111,RIDER0106,2025-06-26 00:04:00,2025-06-26 00:36:00,30,32,Late,14.55
DEL000111,ORD000112,RIDER0283,2025-12-29 17:51:00,2025-12-29 18:52:00,53,61,Late,7.94
DEL000112,ORD000113,RIDER0179,2025-01-22 15:38:00,2025-01-22 16:36:00,50,58,Late,7.33
DEL000113,ORD000114,RIDER0097,2025-11-21 16:21:00,2025-11-21 16:33:00,26,12,On Time,7.13
DEL000114,ORD000115,RIDER0074,2025-02-05 19:19:00,2025-02-05 20:26:00,51,67,Late,2.94
DEL000115,ORD000116,RIDER0191,2025-09-07 15:16:00,2025-09-07 15:28:00,25,12,On Time,4.96
DEL000116,ORD000117,RIDER0124,2025-05-29 17:33:00,2025-05-29 18:33:00,60,60,On Time,12.25
DEL000117,ORD000118,RIDER0023,2025-03-14 18:29:00,2025-03-14 19:03:00,26,34,Late,6.48
DEL000118,ORD000119,RIDER0146,2025-04-01 04:01:00,2025-04-01 04:40:00,39,39,On Time,14.94
DEL000119,ORD000120,RIDER0215,2025-06-25 23:14:00,2025-06-25 23:56:00,50,42,On Time,10.53
DEL000120,ORD000121,RIDER0091,2025-05-06 03:26:00,2025-05-06 03:48:00,27,22,On Time,9.45
DEL000121,ORD000122,RIDER0237,2025-07-23 16:04:00,2025-07-23 17:05:00,60,61,Late,9.11
DEL000122,ORD000123,RIDER0190,2025-09-03 13:16:00,2025-09-03 14:00:00,46,44,On Time,5.84
DEL000123,ORD000124,RIDER0023,2025-04-09 22:36:00,2025-04-09 23:32:00,47,56,Late,9.09
DEL000124,ORD000125,RIDER0095,2025-09-28 13:12:00,2025-09-28 14:10:00,35,58,Late,14.67
DEL000125,ORD000126,RIDER0284,2025-02-13 00:42:00,2025-02-13 01:48:00,60,66,Late,5.54
DEL000126,ORD000127,RIDER0281,2025-08-10 10:20:00,2025-08-10 11:08:00,44,48,Late,6.69
DEL000127,ORD000128,RIDER0038,2025-04-07 01:43:00,2025-04-07 01:58:00,42,15,On Time,5.53
DEL000128,ORD000129,RIDER0063,2025-02-05 22:36:00,2025-02-05 23:22:00,31,46,Late,8.13
DEL000129,ORD000130,RIDER0299,2025-06-17 09:41:00,2025-06-17 10:10:00,26,29,Late,12.37
DEL000130,ORD000131,RIDER0162,2025-01-30 19:23:00,2025-01-30 19:55:00,53,32,On Time,11.43
DEL000131,ORD000132,RIDER0126,2025-10-09 17:19:00,2025-10-09 17:45:00,34,26,On Time,11.78
DEL000132,ORD000133,RIDER0143,2025-03-26 01:44:00,2025-03-26 02:34:00,47,50,Late,3.42
DEL000133,ORD000134,RIDER0017,2025-12-23 20:04:00,2025-12-23 21:09:00,53,65,Late,6.28
DEL000134,ORD000135,RIDER0230,2025-05-01 19:09:00,2025-05-01 20:17:00,56,68,Late,14.95
DEL000135,ORD000136,RIDER0006,2025-10-14 11:01:00,2025-10-14 11:34:00,27,33,Late,5.53
DEL000136,ORD000137,RIDER0101,2025-09-05 20:00:00,2025-09-05 20:53:00,60,53,On Time,11.05
DEL000137,ORD000138,RIDER0241,2025-07-03 06:39:00,2025-07-03 07:17:00,47,38,On Time,10.39
DEL000138,ORD000139,RIDER0032,2025-09-10 15:11:00,2025-09-10 15:39:00,38,28,On Time,12.41
DEL000139,ORD000140,RIDER0079,2025-09-30 15:06:00,2025-09-30 16:09:00,49,63,Late,7.56
DEL000140,ORD000141,RIDER0164,2025-07-28 19:19:00,2025-07-28 20:13:00,60,54,On Time,4.52
DEL000141,ORD000142,RIDER0272,2025-12-20 13:40:00,2025-12-20 14:34:00,49,54,Late,5.31
DEL000142,ORD000143,RIDER0143,2025-01-24 00:08:00,2025-01-24 00:44:00,33,36,Late,12.35
DEL000143,ORD000144,RIDER0219,2025-05-02 08:27:00,2025-05-02 09:02:00,25,35,Late,5.38
DEL000144,ORD000145,RIDER0197,2025-08-13 10:51:00,2025-08-13 11:34:00,59,43,On Time,10.16
DEL000145,ORD000146,RIDER0285,2025-05-03 05:28:00,2025-05-03 06:38:00,60,70,Late,14.43
DEL000146,ORD000147,RIDER0086,2025-10-21 10:00:00,2025-10-21 11:02:00,49,62,Late,3.86
DEL000147,ORD000148,RIDER0216,2025-06-22 00:54:00,2025-06-22 01:46:00,55,52,On Time,6.37
DEL000148,ORD000149,RIDER0194,2025-05-23 12:48:00,2025-05-23 13:59:00,50,71,Late,5.4
DEL000149,ORD000150,RIDER0153,2025-06-18 00:11:00,2025-06-18 00:59:00,35,48,Late,6.26
DEL000150,ORD000151,RIDER0204,2025-02-26 08:26:00,2025-02-26 09:12:00,30,46,Late,2.7
DEL000151,ORD000152,RIDER0081,2025-02-11 07:26:00,2025-02-11 08:00:00,26,34,Late,10.0
DEL000152,ORD000153,RIDER0285,2025-11-05 00:48:00,2025-11-05 01:29:00,52,41,On Time,8.41
DEL000153,ORD000154,RIDER0107,2025-04-29 16:37:00,2025-04-29 17:39:00,52,62,Late,6.97
DEL000154,ORD000155,RIDER0245,2025-05-01 23:40:00,2025-05-02 00:26:00,43,46,Late,10.63
DEL000155,ORD000156,RIDER0135,2025-11-08 07:36:00,2025-11-08 08:44:00,48,68,Late,2.04
DEL000156,ORD000157,RIDER0002,2025-09-08 07:00:00,2025-09-08 07:34:00,50,34,On Time,2.11
DEL000157,ORD000158,RIDER0125,2025-12-09 00:23:00,2025-12-09 00:56:00,30,33,Late,7.65
DEL000158,ORD000159,RIDER0200,2025-11-28 04:33:00,2025-11-28 05:22:00,39,49,Late,4.05
DEL000159,ORD000160,RIDER0114,2025-12-07 08:23:00,2025-12-07 09:11:00,54,48,On Time,6.98
DEL000160,ORD000161,RIDER0083,2025-12-07 05:11:00,2025-12-07 05:56:00,28,45,Late,5.63
DEL000161,ORD000162,RIDER0128,2025-12-03 21:59:00,2025-12-03 22:27:00,36,28,On Time,14.77
DEL000162,ORD000163,RIDER0194,2025-07-01 13:50:00,2025-07-01 14:17:00,25,27,Late,10.83
DEL000163,ORD000164,RIDER0119,2025-06-14 12:19:00,2025-06-14 13:00:00,55,41,On Time,11.98
DEL000164,ORD000165,RIDER0087,2025-09-21 22:47:00,2025-09-21 23:31:00,53,44,On Time,3.52
DEL000165,ORD000166,RIDER0040,2025-07-29 13:14:00,2025-07-29 14:17:00,46,63,Late,12.96
DEL000166,ORD000167,RIDER0144,2025-01-11 23:07:00,2025-01-11 23:40:00,30,33,Late,4.57
DEL000167,ORD000168,RIDER0076,2025-07-01 11:09:00,2025-07-01 11:48:00,54,39,On Time,12.27
DEL000168,ORD000169,RIDER0132,2025-09-08 09:02:00,2025-09-08 09:18:00,28,16,On Time,3.45
DEL000169,ORD000170,RIDER0009,2025-05-18 03:04:00,2025-05-18 03:55:00,36,51,Late,14.39
DEL000170,ORD000171,RIDER0169,2025-08-06 05:06:00,2025-08-06 05:37:00,33,31,On Time,1.3
DEL000171,ORD000172,RIDER0115,2025-08-27 03:41:00,2025-08-27 04:16:00,34,35,Late,10.95
DEL000172,ORD000173,RIDER0012,2025-12-03 19:48:00,2025-12-03 20:42:00,55,54,On Time,10.88
DEL000173,ORD000174,RIDER0160,2025-03-28 15:05:00,2025-03-28 15:54:00,53,49,On Time,10.73
DEL000174,ORD000175,RIDER0126,2025-10-25 19:52:00,2025-10-25 20:50:00,54,58,Late,3.03
DEL000175,ORD000176,RIDER0123,2025-10-20 04:48:00,2025-10-20 05:37:00,55,49,On Time,9.0
DEL000176,ORD000177,RIDER0038,2025-04-02 16:46:00,2025-04-02 17:30:00,44,44,On Time,10.46
DEL000177,ORD000178,RIDER0170,2025-07-27 20:39:00,2025-07-27 20:56:00,26,17,On Time,9.42
DEL000178,ORD000179,RIDER0111,2025-07-23 20:46:00,2025-07-23 21:40:00,49,54,Late,7.08
DEL000179,ORD000180,RIDER0028,2025-07-05 02:43:00,2025-07-05 03:20:00,38,37,On Time,8.8
DEL000180,ORD000181,RIDER0146,2025-03-26 03:35:00,2025-03-26 04:16:00,42,41,On Time,12.9
DEL000181,ORD000182,RIDER0106,2025-11-11 07:25:00,2025-11-11 08:00:00,40,35,On Time,9.41
DEL000182,ORD000183,RIDER0255,2025-06-01 08:00:00,2025-06-01 08:32:00,31,32,Late,14.42
DEL000183,ORD000184,RIDER0002,2025-06-05 02:34:00,2025-06-05 03:19:00,33,45,Late,9.64
DEL000184,ORD000185,RIDER0044,2025-10-20 10:32:00,2025-10-20 11:06:00,37,34,On Time,14.29
DEL000185,ORD000186,RIDER0245,2025-01-21 02:29:00,2025-01-21 03:26:00,53,57,Late,3.39
DEL000186,ORD000187,RIDER0122,2025-06-10 18:57:00,2025-06-10 19:27:00,45,30,On Time,14.79
DEL000187,ORD000188,RIDER0151,2025-12-05 15:12:00,2025-12-05 15:42:00,26,30,Late,12.37
DEL000188,ORD000189,RIDER0255,2025-06-05 11:53:00,2025-06-05 12:38:00,47,45,On Time,7.07
DEL000189,ORD000190,RIDER0075,2025-05-23 00:27:00,2025-05-23 01:05:00,36,38,Late,14.47
DEL000190,ORD000191,RIDER0188,2025-09-14 12:14:00,2025-09-14 12:48:00,27,34,Late,5.99
DEL000191,ORD000192,RIDER0056,2025-04-17 15:05:00,2025-04-17 15:34:00,30,29,On Time,12.23
DEL000192,ORD000193,RIDER0120,2025-10-11 22:40:00,2025-10-11 23:16:00,29,36,Late,6.48
DEL000193,ORD000194,RIDER0173,2025-02-19 01:47:00,2025-02-19 02:27:00,38,40,Late,1.26
DEL000194,ORD000195,RIDER0061,2025-02-04 11:25:00,2025-02-04 11:59:00,25,34,Late,2.99
DEL000195,ORD000196,RIDER0229,2025-08-12 17:11:00,2025-08-12 17:39:00,52,28,On Time,9.18
DEL000196,ORD000197,RIDER0107,2025-06-05 20:39:00,2025-06-05 21:43:00,56,64,Late,10.5
DEL000197,ORD000198,RIDER0138,2025-07-10 12:49:00,2025-07-10 13:45:00,47,56,Late,4.59
DEL000198,ORD000199,RIDER0292,2025-07-03 01:31:00,2025-07-03 01:53:00,35,22,On Time,13.49
DEL000199,ORD000201,RIDER0107,2025-10-24 18:11:00,2025-10-24 18:35:00,26,24,On Time,4.36
DEL000200,ORD000202,RIDER0203,2025-11-19 17:01:00,2025-11-19 17:40:00,52,39,On Time,1.48
DEL000201,ORD000203,RIDER0172,2025-10-31 23:02:00,2025-10-31 23:35:00,40,33,On Time,7.72
DEL000202,ORD000204,RIDER0002,2025-12-08 08:50:00,2025-12-08 09:12:00,44,22,On Time,13.83
DEL000203,ORD000205,RIDER0138,2025-02-27 18:02:00,2025-02-27 18:42:00,36,40,Late,2.57
DEL000204,ORD000206,RIDER0196,2025-02-08 10:04:00,2025-02-08 10:50:00,38,46,Late,2.99
DEL000205,ORD000207,RIDER0156,2025-08-29 12:14:00,2025-08-29 12:53:00,46,39,On Time,7.81
DEL000206,ORD000208,RIDER0153,2025-01-25 14:51:00,2025-01-25 15:22:00,26,31,Late,9.52
DEL000207,ORD000209,RIDER0033,2025-11-12 05:55:00,2025-11-12 06:50:00,52,55,Late,12.51
DEL000208,ORD000210,RIDER0007,2025-04-27 00:04:00,2025-04-27 01:15:00,48,71,Late,10.56
DEL000209,ORD000211,RIDER0234,2025-12-08 15:23:00,2025-12-08 16:38:00,59,75,Late,6.57
DEL000210,ORD000212,RIDER0251,2025-08-28 20:45:00,2025-08-28 21:00:00,30,15,On Time,13.2
DEL000211,ORD000213,RIDER0181,2025-06-24 19:25:00,2025-06-24 20:02:00,46,37,On Time,6.81
DEL000212,ORD000214,RIDER0234,2025-12-06 17:32:00,2025-12-06 18:10:00,42,38,On Time,5.33
DEL000213,ORD000216,RIDER0041,2025-09-10 03:02:00,2025-09-10 03:54:00,56,52,On Time,12.56
DEL000214,ORD000217,RIDER0234,2025-04-21 06:24:00,2025-04-21 07:28:00,57,64,Late,2.73
DEL000215,ORD000218,RIDER0139,2025-08-29 21:07:00,2025-08-29 22:09:00,58,62,Late,10.96
DEL000216,ORD000219,RIDER0173,2025-08-12 17:31:00,2025-08-12 18:21:00,51,50,On Time,2.74
DEL000217,ORD000220,RIDER0285,2025-10-25 01:12:00,2025-10-25 01:56:00,37,44,Late,11.48
DEL000218,ORD000221,RIDER0220,2025-02-21 12:26:00,2025-02-21 12:51:00,45,25,On Time,8.7
DEL000219,ORD000222,RIDER0251,2025-08-09 19:02:00,2025-08-09 19:53:00,27,51,Late,6.46
DEL000220,ORD000223,RIDER0144,2025-10-31 03:38:00,2025-10-31 04:19:00,31,41,Late,13.55
DEL000221,ORD000224,RIDER0287,2025-10-15 12:19:00,2025-10-15 12:54:00,35,35,On Time,8.53
DEL000222,ORD000225,RIDER0278,2025-06-01 12:14:00,2025-06-01 13:07:00,59,53,On Time,3.17
DEL000223,ORD000226,RIDER0200,2025-04-28 01:22:00,2025-04-28 01:49:00,31,27,On Time,10.52
DEL000224,ORD000227,RIDER0136,2025-10-06 06:29:00,2025-10-06 07:22:00,52,53,Late,13.24
DEL000225,ORD000228,RIDER0209,2025-05-15 19:09:00,2025-05-15 20:18:00,55,69,Late,3.13
DEL000226,ORD000229,RIDER0299,2025-07-28 02:11:00,2025-07-28 02:59:00,52,48,On Time,7.18
DEL000227,ORD000230,RIDER0138,2025-05-07 12:09:00,2025-05-07 13:30:00,55,81,Late,10.77
DEL000228,ORD000231,RIDER0268,2025-10-20 06:03:00,2025-10-20 06:27:00,41,24,On Time,13.46
DEL000229,ORD000232,RIDER0124,2025-01-07 07:09:00,2025-01-07 08:01:00,55,52,On Time,6.39
DEL000230,ORD000233,RIDER0118,2025-08-10 04:40:00,2025-08-10 05:21:00,59,41,On Time,3.87
DEL000231,ORD000234,RIDER0255,2025-03-18 00:47:00,2025-03-18 01:40:00,49,53,Late,13.29
DEL000232,ORD000235,RIDER0082,2025-12-04 22:52:00,2025-12-04 23:04:00,36,12,On Time,10.01
DEL000233,ORD000236,RIDER0180,2025-12-17 15:50:00,2025-12-17 16:27:00,59,37,On Time,13.49
DEL000234,ORD000237,RIDER0217,2025-10-05 22:31:00,2025-10-05 23:31:00,42,60,Late,10.0
DEL000235,ORD000238,RIDER0161,2025-11-30 19:52:00,2025-11-30 20:52:00,54,60,Late,12.78
DEL000236,ORD000239,RIDER0182,2025-12-04 16:53:00,2025-12-04 17:37:00,59,44,On Time,5.51
DEL000237,ORD000240,RIDER0282,2025-08-15 22:53:00,2025-08-15 23:18:00,35,25,On Time,8.55
DEL000238,ORD000241,RIDER0256,2025-10-02 12:17:00,2025-10-02 13:01:00,37,44,Late,3.43
DEL000239,ORD000242,RIDER0200,2025-12-17 05:39:00,2025-12-17 06:32:00,44,53,Late,2.01
DEL000240,ORD000243,RIDER0291,2025-10-22 03:20:00,2025-10-22 04:04:00,33,44,Late,8.74
DEL000241,ORD000244,RIDER0070,2025-04-27 00:15:00,2025-04-27 00:38:00,35,23,On Time,9.77
DEL000242,ORD000245,RIDER0217,2025-10-19 01:07:00,2025-10-19 01:59:00,54,52,On Time,9.31
DEL000243,ORD000246,RIDER0250,2025-09-28 06:57:00,2025-09-28 07:38:00,51,41,On Time,5.41
DEL000244,ORD000247,RIDER0200,2025-06-06 14:30:00,2025-06-06 15:22:00,27,52,Late,0.92
DEL000245,ORD000248,RIDER0091,2025-03-01 05:39:00,2025-03-01 06:06:00,33,27,On Time,13.56
