delivery_partner_id,partner_name,vehicle_type,city,joining_date,rating
RIDER0048,Rider 048,Bike,Barishal,2025-12-02,3.93
RIDER0049,Rider 049,Bike,Barishal,2023-04-09,4.39
RIDER0050,Rider 050,Bike,Khulna,2024-12-06,4.11
RIDER0051,Rider 051,Bicycle,Khulna,2023-11-07,3.99
RIDER0052,Rider 052,Bicycle,Barishal,2024-02-27,4.11
RIDER0053,Rider 053,Bike,Chattogram,2023-09-29,5.0
RIDER0054,Rider 054,Bicycle,Barishal,2025-04-04,4.03
RIDER0055,Rider 055,Bicycle,Chattogram,2023-07-29,3.78
RIDER0056,Rider 056,Bike,Sylhet,2025-01-08,4.43
RIDER0057,Rider 057,Bike,Chattogram,2025-03-03,4.14
RIDER0058,Rider 058,Bike,Mymensingh,2025-11-11,3.63
RIDER0059,Rider 059,Bicycle,Dhaka,2025-01-29,5.0
RIDER0060,Rider 060,Bike,Rajshahi,2023-06-08,4.06
RIDER0061,Rider 061,Bike,Dhaka,2025-01-10,4.05
RIDER0062,Rider 062,Bike,Dhaka,2023-12-09,4.26
RIDER0063,Rider 063,Scooter,Khulna,2024-11-29,4.89
RIDER0064,Rider 064,Bike,Rajshahi,2024-02-01,3.53
RIDER0065,Rider 065,Bike,Khulna,2024-06-19,4.31
RIDER0066,Rider 066,Bicycle,Chattogram,2023-05-21,5.0
RIDER0067,Rider 067,Bicycle,Barishal,2025-08-18,4.25
RIDER0068,Rider 068,Bicycle,Rangpur,2023-08-28,3.71
RIDER0069,Rider 069,Bicycle,Rangpur,2023-10-19,3.95
RIDER0070,Rider 070,Bicycle,Rangpur,2025-03-27,4.28
RIDER0071,Rider 071,Bike,Chattogram,2023-03-23,4.73
RIDER0072,Rider 072,Scooter,Rajshahi,2024-07-13,4.06
RIDER0073,Rider 073,Bicycle,Sylhet,2025-05-19,4.53
RIDER0074,Rider 074,Scooter,Chattogram,2023-06-20,3.63
RIDER0075,Rider 075,Scooter,Dhaka,2025-09-03,3.62
RIDER0076,Rider 076,Bike,Rajshahi,2024-08-02,4.01
RIDER0077,Rider 077,Bike,Rajshahi,2024-06-09,4.78
RIDER0078,Rider 078,Bike,Chattogram,2024-06-25,4.23
RIDER0079,Rider 079,Bike,Chattogram,2023-04-20,4.32
RIDER0080,Rider 080,Bicycle,Khulna,2023-11-18,4.31
RIDER0081,Rider 081,Scooter,Khulna,2025-06-18,4.64
RIDER0082,Rider 082,Bike,Dhaka,2024-12-14,3.96
RIDER0083,Rider 083,Bike,Mymensingh,2023-03-25,4.48
RIDER0084,Rider 084,Bike,Rajshahi,2025-08-13,3.87
RIDER0085,Rider 085,Bike,Rangpur,2024-01-11,4.99
RIDER0086,Rider 086,Bicycle,Sylhet,2025-12-12,3.88
RIDER0087,Rider 087,Scooter,Sylhet,2024-08-08,3.85
RIDER0088,Rider 088,Bicycle,Rajshahi,2023-04-10,4.42
RIDER0089,Rider 089,Bicycle,Dhaka,2023-05-09,4.23
RIDER0090,Rider 090,Bike,Rangpur,2025-07-06,4.33
RIDER0091,Rider 091,Bike,Khulna,2023-08-07,4.29
RIDER0092,Rider 092,Scooter,Khulna,2024-04-21,3.76
RIDER0093,Rider 093,Bike,Khulna,2023-01-22,4.85
RIDER0094,Rider 094,Bicycle,Sylhet,2024-07-13,4.56
RIDER0095,Rider 095,Bike,Sylhet,2024-09-20,4.74
RIDER0096,Rider 096,Scooter,Dhaka,2025-10-15,3.99
RIDER0097,Rider 097,Bicycle,Sylhet,2023-12-05,4.37
RIDER0098,Rider 098,Bike,Chattogram,2023-06-28,4.28
RIDER0099,Rider 099,Bicycle,Sylhet,2024-02-25,4.65
RIDER0100,Rider 100,Bike,Khulna,2025-10-03,4.66
RIDER0101,Rider 101,Bike,Dhaka,2023-02-18,4.28
RIDER0102,Rider 102,Bike,Rajshahi,2025-02-05,3.59
RIDER0103,Rider 103,Scooter,Rajshahi,2023-01-30,4.91
RIDER0104,Rider 104,Bike,Dhaka,2023-03-26,4.42
RIDER0105,Rider 105,Bicycle,Chattogram,2025-02-27,3.96
RIDER0106,Rider 106,Bike,Rajshahi,2023-11-25,4.36
RIDER0107,Rider 107,Scooter,Khulna,2024-09-01,3.6
RIDER0108,Rider 108,Scooter,Rajshahi,2024-03-09,4.62
RIDER0109,Rider 109,Scooter,Rajshahi,2024-08-10,3.61
RIDER0110,Rider 110,Bike,Khulna,2024-11-20,4.11
RIDER0111,Rider 111,Bike,Sylhet,2024-02-29,4.3
RIDER0112,Rider 112,Bike,Chattogram,2025-02-08,4.62
RIDER0113,Rider 113,Bike,Rangpur,2024-05-26,4.24
RIDER0114,Rider 114,Bicycle,Khulna,2025-10-08,4.45
RIDER0115,Rider 115,Bike,Khulna,2024-07-17,4.19
RIDER0116,Rider 116,Bicycle,Barishal,2023-10-30,4.19
RIDER0117,Rider 117,Bicycle,Dhaka,2023-04-09,4.23
RIDER0118,Rider 118,Scooter,Mymensingh,2024-07-10,4.12
RIDER0119,Rider 119,Bike,Chattogram,2023-02-11,3.53
RIDER0120,Rider 120,Bike,Sylhet,2025-09-17,3.89
RIDER0121,Rider 121,Bicycle,Barishal,2024-04-12,4.3
RIDER0122,Rider 122,Scooter,Rangpur,2024-03-15,4.1
RIDER0123,Rider 123,Bike,Khulna,2023-11-23,4.14
RIDER0124,Rider 124,Bike,Rangpur,2024-07-22,4.07
RIDER0125,Rider 125,Bike,Rangpur,2023-02-02,3.85
RIDER0126,Rider 126,Bike,Rangpur,2024-02-16,4.0
RIDER0127,Rider 127,Bicycle,Barishal,2025-03-22,4.08
RIDER0128,Rider 128,Bike,Mymensingh,2024-05-22,4.2
RIDER0129,Rider 129,Bike,Sylhet,2023-02-25,4.36
RIDER0130,Rider 130,Bicycle,Barishal,2024-06-29,4.13
RIDER0131,Rider 131,Bike,Barishal,2023-07-15,3.79
RIDER0132,Rider 132,Bike,Mymensingh,2024-02-17,3.64
RIDER0133,Rider 133,Bike,Barishal,2024-09-28,5.0
RIDER0134,Rider 134,Bike,Khulna,2025-01-11,3.75
RIDER0135,Rider 135,Bicycle,Khulna,2023-05-17,3.99
RIDER0136,Rider 136,Bike,Dhaka,2024-06-22,4.41
RIDER0137,Rider 137,Bike,Rajshahi,2024-11-19,4.34
RIDER0138,Rider 138,Bike,Chattogram,2024-12-19,4.41
RIDER0139,Rider 139,Bike,Dhaka,2025-07-21,4.02
RIDER0140,Rider 140,Bike,Sylhet,2023-11-02,4.3
RIDER0141,Rider 141,Scooter,Barishal,2024-01-23,4.22
RIDER0142,Rider 142,Bike,Khulna,2024-12-25,4.08
RIDER0143,Rider 143,Bike,Barishal,2025-07-03,4.3
RIDER0144,Rider 144,Bicycle,Khulna,2024-07-02,4.62
RIDER0145,Rider 145,Scooter,Rangpur,2024-05-20,4.19
RIDER0146,Rider 146,Bike,Chattogram,2024-01-23,4.19
RIDER0147,Rider 147,Bike,Dhaka,2023-10-20,4.63
RIDER0148,Rider 148,Bike,Dhaka,2023-06-28,4.58
RIDER0149,Rider 149,Bike,Sylhet,2024-11-02,4.83
RIDER0150,Rider 150,Scooter,Rangpur,2023-03-21,3.5
RIDER0151,Rider 151,Scooter,Dhaka,2025-11-03,4.56
RIDER0152,Rider 152,Scooter,Dhaka,2025-12-13,4.44
RIDER0153,Rider 153,Scooter,Rajshahi,2024-03-22,3.85
RIDER0154,Rider 154,Bicycle,Mymensingh,2025-02-04,4.3
RIDER0155,Rider 155,Bike,Chattogram,2025-12-24,4.62
RIDER0156,Rider 156,Scooter,Barishal,2024-05-17,3.87
RIDER0157,Rider 157,Bike,Mymensingh,2024-07-23,4.38
RIDER0158,Rider 158,Bike,Dhaka,2023-04-06,4.55
RIDER0159,Rider 159,Scooter,Sylhet,2024-08-07,3.77
RIDER0160,Rider 160,Bike,Barishal,2023-09-05,4.14
RIDER0161,Rider 161,Bicycle,Khulna,2023-05-07,4.32
RIDER0162,Rider 162,Bike,Rangpur,2024-05-13,3.88
RIDER0163,Rider 163,Bike,Rangpur,2023-02-15,3.85
RIDER0164,Rider 164,Bicycle,Dhaka,2025-09-08,4.15
RIDER0165,Rider 165,Bicycle,Dhaka,2023-09-25,4.52
RIDER0166,Rider 166,Bike,Barishal,2023-04-04,4.46
RIDER0167,Rider 167,Scooter,Mymensingh,2025-01-05,3.86
RIDER0168,Rider 168,Bike,Khulna,2024-09-03,4.46
RIDER0169,Rider 169,Bike,Rajshahi,2023-03-12,3.87
RIDER0170,Rider 170,Bike,Chattogram,2024-08-15,3.56
RIDER0171,Rider 171,Bike,Rajshahi,2024-03-24,4.05
RIDER0172,Rider 172,Bike,Mymensingh,2024-09-11,4.65
RIDER0173,Rider 173,Bike,Sylhet,2024-09-05,4.46
RIDER0174,Rider 174,Scooter,Barishal,2023-04-01,4.2
RIDER0175,Rider 175,Bike,Dhaka,2025-05-26,4.03
RIDER0176,Rider 176,Bicycle,Rajshahi,2024-06-11,4.04
RIDER0177,Rider 177,Bicycle,Chattogram,2025-02-13,4.24
RIDER0178,Rider 178,Bicycle,Sylhet,2024-11-02,3.77
RIDER0179,Rider 179,Bicycle,Rangpur,2025-02-03,4.06
RIDER0180,Rider 180,Bicycle,Mymensingh,2023-12-27,4.11
RIDER0181,Rider 181,Bicycle,Rajshahi,2024-01-13,3.66
RIDER0182,Rider 182,Bicycle,Dhaka,2023-12-11,3.86
RIDER0183,Rider 183,Bicycle,Chattogram,2025-03-08,4.36
RIDER0184,Rider 184,Bicycle,Dhaka,2024-03-30,4.2
RIDER0185,Rider 185,Scooter,Dhaka,2025-06-26,4.08
RIDER0186,Rider 186,Bicycle,Sylhet,2023-03-08,3.84
RIDER0187,Rider 187,Bike,Chattogram,2025-09-13,4.83
RIDER0188,Rider 188,Scooter,Khulna,2025-09-05,3.86
RIDER0189,Rider 189,Bike,Rangpur,2023-02-12,4.3
RIDER0190,Rider 190,Bike,Mymensingh,2023-08-17,4.0
RIDER0191,Rider 191,Scooter,Dhaka,2023-08-22,4.21
RIDER0192,Rider 192,Bicycle,Mymensingh,2024-05-11,4.38
RIDER0193,Rider 193,Scooter,Chattogram,2025-04-27,3.65
RIDER0194,Rider 194,Bike,Dhaka,2025-11-21,4.2
RIDER0195,Rider 195,Bike,Rajshahi,2023-04-23,4.68
RIDER0196,Rider 196,Bicycle,Rajshahi,2025-08-30,4.9
RIDER0197,Rider 197,Bicycle,Chattogram,2024-04-03,4.15
RIDER0198,Rider 198,Bike,Rangpur,2023-01-06,4.22
RIDER0199,Rider 199,Bike,Sylhet,2025-09-18,5.0
RIDER0200,Rider 200,Bicycle,Khulna,2024-05-08,4.65
RIDER0201,Rider 201,Bike,Rajshahi,2023-03-12,3.95
RIDER0202,Rider 202,Bike,Sylhet,2025-07-27,3.95
RIDER0203,Rider 203,Bike,Khulna,2024-11-04,4.58
RIDER0204,Rider 204,Bike,Rajshahi,2025-11-22,3.8
RIDER0205,Rider 205,Bike,Khulna,2023-05-23,4.64
RIDER0206,Rider 206,Bike,Barishal,2025-01-05,4.33
RIDER0207,Rider 207,Bike,Dhaka,2024-12-26,4.41
RIDER0208,Rider 208,Scooter,Chattogram,2023-08-05,4.1
RIDER0209,Rider 209,Bicycle,Rajshahi,2024-03-09,3.95
RIDER0210,Rider 210,Bike,Rajshahi,2025-04-13,4.78
RIDER0211,Rider 211,Scooter,Mymensingh,2025-12-13,4.1
RIDER0212,Rider 212,Bike,Dhaka,2024-12-20,4.04
RIDER0213,Rider 213,Scooter,Rajshahi,2025-07-30,4.17
RIDER0214,Rider 214,Bicycle,Rajshahi,2025-06-25,4.28
RIDER0215,Rider 215,Bike,Barishal,2025-09-21,3.79
RIDER0216,Rider 216,Bike,Rajshahi,2023-02-24,3.97
RIDER0217,Rider 217,Bike,Rajshahi,2025-11-24,3.95
RIDER0218,Rider 218,Bicycle,Rajshahi,2025-05-10,4.54
RIDER0219,Rider 219,Bike,Sylhet,2025-10-03,3.85
RIDER0220,Rider 220,Bike,Rajshahi,2024-07-19,3.5
RIDER0221,Rider 221,Bike,Dhaka,2025-02-09,3.41
RIDER0222,Rider 222,Bike,Barishal,2025-05-27,3.61
RIDER0223,Rider 223,Bicycle,Rajshahi,2025-04-03,4.74
RIDER0224,Rider 224,Bike,Khulna,2024-05-28,4.21
RIDER0225,Rider 225,Bike,Barishal,2025-05-11,4.4
RIDER0226,Rider 226,Bike,Barishal,2024-02-26,4.41
RIDER0227,Rider 227,Bike,Khulna,2024-05-31,4.22
RIDER0228,Rider 228,Bicycle,Dhaka,2024-12-05,4.17
RIDER0229,Rider 229,Bike,Sylhet,2025-03-19,4.62
RIDER0230,Rider 230,Scooter,Rangpur,2023-02-13,4.26
RIDER0231,Rider 231,Bike,Mymensingh,2025-05-07,4.76
RIDER0232,Rider 232,Scooter,Rangpur,2025-03-11,4.45
RIDER0233,Rider 233,Bike,Dhaka,2023-08-07,3.95
RIDER0234,Rider 234,Bicycle,Sylhet,2024-07-21,4.0
RIDER0235,Rider 235,Bicycle,Chattogram,2025-06-26,3.91
RIDER0236,Rider 236,Bike,Khulna,2023-09-15,4.69
RIDER0237,Rider 237,Scooter,Mymensingh,2025-08-18,4.04
RIDER0238,Rider 238,Bike,Barishal,2025-06-11,3.88
RIDER0239,Rider 239,Bike,Barishal,2023-10-16,4.33
RIDER0240,Rider 240,Bicycle,Barishal,2025-08-29,4.16
RIDER0241,Rider 241,Bike,Khulna,2023-04-13,4.32
RIDER0242,Rider 242,Scooter,Khulna,2025-03-14,4.96
RIDER0243,Rider 243,Bike,Mymensingh,2025-11-15,4.57
RIDER0244,Rider 244,Scooter,Rangpur,2023-10-29,4.21
RIDER0245,Rider 245,Bike,Rangpur,2025-12-14,3.64
RIDER0246,Rider 246,Bike,Rangpur,2023-02-25,4.0
RIDER0247,Rider 247,Bike,Sylhet,2025-10-11,4.48
RIDER0248,Rider 248,Bike,Barishal,2024-01-09,3.73
RIDER0249,Rider 249,Bike,Dhaka,2025-04-10,5.0
RIDER0250,Rider 250,Bike,Sylhet,2025-07-08,4.21
RIDER0251,Rider 251,Bike,Barishal,2024-04-01,4.22
RIDER0252,Rider 252,Bike,Khulna,2023-05-12,3.93
RIDER0253,Rider 253,Bike,Khulna,2024-05-07,4.4
RIDER0254,Rider 254,Bike,Khulna,2023-04-20,3.74
RIDER0255,Rider 255,Bike,Barishal,2024-08-04,5.0
RIDER0256,Rider 256,Bike,Rangpur,2025-03-06,4.73
RIDER0257,Rider 257,Bicycle,Khulna,2025-03-20,4.59
RIDER0258,Rider 258,Bike,Chattogram,2025-06-04,3.64
RIDER0259,Rider 259,Bike,Khulna,2025-02-11,4.28
RIDER0260,Rider 260,Scooter,Mymensingh,2025-07-25,4.68
RIDER0261,Rider 261,Scooter,Mymensingh,2024-07-26,4.44
RIDER0262,Rider 262,Bicycle,Barishal,2025-03-19,3.8
RIDER0263,Rider 263,Bike,Rangpur,2025-05-28,3.94
RIDER0264,Rider 264,Bicycle,Sylhet,2025-10-29,4.02
RIDER0265,Rider 265,Bicycle,Khulna,2024-02-17,3.96
RIDER0266,Rider 266,Bike,Rangpur,2025-04-09,4.81
RIDER0267,Rider 267,Bike,Rangpur,2024-07-19,3.43
RIDER0268,Rider 268,Bike,Rajshahi,2023-04-14,4.46
RIDER0269,Rider 269,Bike,Chattogram,2024-11-07,3.68
RIDER0270,Rider 270,Bicycle,Mymensingh,2025-08-02,3.82
RIDER0271,Rider 271,Bike,Barishal,2023-09-27,3.4
RIDER0272,Rider 272,Bike,Khulna,2024-04-10,3.98
RIDER0273,Rider 273,Bike,Rajshahi,2025-03-11,4.8
RIDER0274,Rider 274,Bicycle,Barishal,2025-10-01,4.31
RIDER0275,Rider 275,Scooter,Sylhet,2023-08-22,3.72
RIDER0276,Rider 276,Bike,Chattogram,2025-07-01,4.61
RIDER0277,Rider 277,Bicycle,Rangpur,2025-11-21,4.69
RIDER0278,Rider 278,Bike,Khulna,2023-12-23,4.24
RIDER0279,Rider 279,Scooter,Sylhet,2025-08-21,5.0
RIDER0280,Rider 280,Bike,Barishal,2023-04-04,4.53
RIDER0281,Rider 281,Bicycle,Rajshahi,2023-09-01,4.47
RIDER0282,Rider 282,Bicycle,Barishal,2023-02-27,3.88
RIDER0283,Rider 283,Bike,Mymensingh,2025-08-22,4.45
RIDER0284,Rider 284,Bike,Barishal,2023-11-16,4.29
RIDER0285,Rider 285,Scooter,Chattogram,2025-11-08,4.41
RIDER0286,Rider 286,Bike,Khulna,2023-12-23,3.93
RIDER0287,Rider 287,Bicycle,Sylhet,2023-04-27,4.25
RIDER0288,Rider 288,Scooter,Chattogram,2023-10-23,3.87
RIDER0289,Rider 289,Scooter,Rajshahi,2024-06-08,3.34
RIDER0290,Rider 290,Bike,Rangpur,2024-02-05,4.6
RIDER0291,Rider 291,Bicycle,Khulna,2025-01-08,3.6
RIDER0292,Rider 292,Bike,Rangpur,2024-06-12,4.24
RIDER0293,Rider 293,Bike,Chattogram,2024-07-10,4.33
RIDER0294,Rider 294,Bicycle,Rajshahi,2024-07-03,4.33
RIDER0295,Rider 295,Scooter,Rajshahi,2023-12-26,4.09
RIDER0296,Rider 296,Scooter,Sylhet,2023-03-05,4.31
RIDER0297,Rider 297,Bike,Mymensingh,2025-02-03,4.39
RIDER0298,Rider 298,Bike,Barishal,2025-02-12,4.49
RIDER0299,Rider 299,Bike,Rajshahi,2024-09-15,4.89
RIDER0300,Rider 300,Bike,Mymensingh,2023-04-12,4.29
