customer_id,customer_name,gender,age,city,signup_date,customer_segment
CUST00070,Customer 00070,Female,52,Chattogram,2023-08-01,Senior
CUST00071,Customer 00071,Female,25,Dhaka,2025-12-25,Adult
CUST00072,Customer 00072,Female,20,Dhaka,2025-03-21,Young
CUST00073,Customer 00073,Male,31,Chattogram,2025-04-29,Adult
CUST00074,Customer 00074,Female,30,Barishal,2025-05-30,Adult
CUST00075,Customer 00075,Male,49,Dhaka,2025-12-24,Senior
CUST00076,Customer 00076,Female,51,Chattogram,2023-11-30,Senior
CUST00077,Customer 00077,Female,36,Rajshahi,2023-02-01,Mid-age
CUST00078,Customer 00078,Female,55,Dhaka,2025-05-17,Senior
CUST00079,Customer 00079,Male,33,Dhaka,2025-06-16,Adult
CUST00080,Customer 00080,Female,19,Mymensingh,2024-08-23,Young
CUST00081,Customer 00081,Male,57,Khulna,2025-09-14,Senior
CUST00082,Customer 00082,Female,34,Sylhet,2024-08-21,Adult
CUST00083,Customer 00083,Male,51,Rajshahi,2024-06-03,Senior
CUST00084,Customer 00084,Female,59,Dhaka,2025-05-18,Senior
CUST00085,Customer 00085,Male,33,Sylhet,2023-01-16,Adult
CUST00086,Customer 00086,Male,55,Chattogram,2023-10-10,Senior
CUST00087,Customer 00087,Female,19,Chattogram,2023-12-27,Young
CUST00088,Customer 00088,Male,19,Dhaka,2025-11-24,Young
CUST00089,Customer 00089,Female,43,Dhaka,2023-04-23,Mid-age
CUST00090,Customer 00090,Female,30,Dhaka,2023-11-04,Adult
CUST00091,Customer 00091,Female,48,Mymensingh,2025-08-16,Senior
CUST00092,Customer 00092,Female,51,Chattogram,2025-12-12,Senior
CUST00093,Customer 00093,Female,56,Chattogram,2025-04-13,Senior
CUST00094,Customer 00094,Female,20,Dhaka,2023-08-30,Young
CUST00095,Customer 00095,Female,25,Dhaka,2023-01-31,Adult
CUST00096,Customer 00096,Female,40,Khulna,2024-12-04,Mid-age
CUST00097,Customer 00097,Female,31,Chattogram,2025-05-18,Adult
CUST00098,Customer 00098,Female,44,Chattogram,2023-08-21,Mid-age
CUST00099,Customer 00099,Female,46,Dhaka,2025-11-23,Senior
CUST00100,Customer 00100,Male,56,Khulna,2025-08-08,Senior
CUST00101,Customer 00101,Male,56,Dhaka,2023-02-28,Senior
CUST00102,Customer 00102,Female,18,Dhaka,2025-02-09,Young
CUST00103,Customer 00103,Female,34,Chattogram,2024-12-18,Adult
CUST00104,Customer 00104,Female,58,Dhaka,2023-10-29,Senior
CUST00105,Customer 00105,Female,47,Dhaka,2025-03-13,Senior
CUST00106,Customer 00106,Female,30,Rajshahi,2025-06-15,Adult
CUST00107,Customer 00107,Female,38,Rajshahi,2023-04-22,Mid-age
CUST00108,Customer 00108,Female,36,Barishal,2023-11-13,Mid-age
CUST00109,Customer 00109,Female,36,Chattogram,2024-10-29,Mid-age
CUST00110,Customer 00110,Male,42,Dhaka,2024-11-20,Mid-age
CUST00111,Customer 00111,Female,39,Dhaka,2023-01-18,Mid-age
CUST00112,Customer 00112,Male,48,Mymensingh,2025-02-16,Senior
CUST00113,Customer 00113,Female,34,Sylhet,2023-12-26,Adult
CUST00114,Customer 00114,Female,40,Rajshahi,2023-11-28,Mid-age
CUST00115,Customer 00115,Male,49,Dhaka,2024-06-11,Senior
CUST00116,Customer 00116,Female,27,Chattogram,2023-01-12,Adult
CUST00117,Customer 00117,Male,27,Dhaka,2023-07-31,Adult
CUST00118,Customer 00118,Female,53,Sylhet,2024-10-02,Senior
CUST00119,Customer 00119,Female,25,Mymensingh,2023-10-10,Adult
CUST00120,Customer 00120,Male,37,Mymensingh,2025-02-18,Mid-age
CUST00121,Customer 00121,Female,49,Chattogram,2025-11-19,Senior
CUST00122,Customer 00122,Male,31,Chattogram,2025-10-29,Adult
CUST00123,Customer 00123,Female,45,Mymensingh,2024-11-07,Senior
CUST00124,Customer 00124,Male,41,Rajshahi,2024-12-05,Mid-age
CUST00125,Customer 00125,Male,32,Dhaka,2024-03-01,Adult
CUST00126,Customer 00126,Female,39,Chattogram,2024-08-13,Mid-age
CUST00127,Customer 00127,Female,47,Dhaka,2023-04-01,Senior
CUST00128,Customer 00128,Male,21,Chattogram,2024-03-31,Young
CUST00129,Customer 00129,Female,30,Chattogram,2024-03-19,Adult
CUST00130,Customer 00130,Female,40,Sylhet,2023-03-20,Mid-age
CUST00131,Customer 00131,Female,25,Dhaka,2025-07-15,Adult
CUST00132,Customer 00132,Male,35,Dhaka,2023-04-13,Mid-age
CUST00133,Customer 00133,Male,29,Chattogram,2024-09-14,Adult
CUST00134,Customer 00134,Male,48,Barishal,2025-09-16,Senior
CUST00135,Customer 00135,Male,31,Rajshahi,2023-08-22,Adult
CUST00136,Customer 00136,Male,51,Dhaka,2024-10-05,Senior
CUST00137,Customer 00137,Male,35,Mymensingh,2025-02-28,Mid-age
CUST00138,Customer 00138,Male,51,Rangpur,2024-01-22,Senior
CUST00139,Customer 00139,Male,28,Dhaka,2025-04-26,Adult
CUST00140,Customer 00140,Male,58,Dhaka,2023-02-07,Senior
CUST00141,Customer 00141,Female,29,Khulna,2023-08-29,Adult
CUST00142,Customer 00142,Male,32,Barishal,2025-11-15,Adult
CUST00143,Customer 00143,Female,48,Mymensingh,2024-07-15,Senior
CUST00144,Customer 00144,Female,46,Rangpur,2025-03-16,Senior
CUST00145,Customer 00145,Female,43,Sylhet,2023-10-25,Mid-age
CUST00146,Customer 00146,Male,35,Chattogram,2025-03-15,Mid-age
CUST00147,Customer 00147,Male,49,Dhaka,2023-06-03,Senior
CUST00148,Customer 00148,Male,39,Dhaka,2025-01-01,Mid-age
CUST00149,Customer 00149,Male,55,Chattogram,2024-04-12,Senior
CUST00150,Customer 00150,Female,34,Sylhet,2023-02-18,Adult
CUST00151,Customer 00151,Male,40,Chattogram,2023-02-15,Mid-age
CUST00152,Customer 00152,Male,41,Khulna,2025-02-18,Mid-age
CUST00153,Customer 00153,Male,25,Dhaka,2023-03-23,Adult
CUST00154,Customer 00154,Male,58,Sylhet,2025-12-03,Senior
CUST00155,Customer 00155,Male,23,Dhaka,2025-08-12,Young
CUST00156,Customer 00156,Female,22,Chattogram,2023-09-30,Young
CUST00157,Customer 00157,Male,46,Khulna,2024-01-29,Senior
CUST00158,Customer 00158,Female,45,Rajshahi,2025-02-28,Senior
CUST00159,Customer 00159,Male,28,Mymensingh,2024-08-17,Adult
CUST00160,Customer 00160,Female,18,Dhaka,2023-02-27,Young
CUST00161,Customer 00161,Male,60,Chattogram,2024-07-18,Senior
CUST00162,Customer 00162,Male,36,Dhaka,2023-01-01,Mid-age
CUST00163,Customer 00163,Female,26,Chattogram,2023-08-04,Adult
CUST00164,Customer 00164,Female,44,Rangpur,2025-02-04,Mid-age
CUST00165,Customer 00165,Female,51,Rajshahi,2024-11-01,Senior
CUST00166,Customer 00166,Male,21,Rangpur,2024-05-25,Young
CUST00167,Customer 00167,Female,53,Dhaka,2025-07-03,Senior
CUST00168,Customer 00168,Male,35,Rangpur,2023-04-05,Mid-age
CUST00169,Customer 00169,Male,32,Dhaka,2024-05-07,Adult
CUST00170,Customer 00170,Female,30,Rangpur,2025-02-03,Adult
CUST00171,Customer 00171,Female,36,Dhaka,2025-10-18,Mid-age
CUST00172,Customer 00172,Male,23,Dhaka,2023-05-30,Young
CUST00173,Customer 00173,Male,29,Chattogram,2025-11-12,Adult
CUST00174,Customer 00174,Female,54,Mymensingh,2025-01-25,Senior
CUST00175,Customer 00175,Female,34,Dhaka,2024-02-03,Adult
CUST00176,Customer 00176,Female,40,Dhaka,2024-02-14,Mid-age
CUST00177,Customer 00177,Male,43,Rangpur,2023-05-11,Mid-age
CUST00178,Customer 00178,Male,46,Chattogram,2025-05-04,Senior
CUST00179,Customer 00179,Male,50,Dhaka,2023-05-28,Senior
CUST00180,Customer 00180,Male,44,Chattogram,2024-01-16,Mid-age
CUST00181,Customer 00181,Male,42,Chattogram,2024-07-05,Mid-age
CUST00182,Customer 00182,Male,27,Rangpur,2023-10-22,Adult
CUST00183,Customer 00183,Female,40,Khulna,2024-03-31,Mid-age
CUST00184,Customer 00184,Male,38,Chattogram,2023-06-18,Mid-age
CUST00185,Customer 00185,Male,38,Mymensingh,2024-12-10,Mid-age
CUST00186,Customer 00186,Male,60,Chattogram,2023-02-06,Senior
CUST00187,Customer 00187,Female,30,Dhaka,2023-08-19,Adult
CUST00188,Customer 00188,Male,54,Dhaka,2023-09-11,Senior
CUST00189,Customer 00189,Male,50,Chattogram,2023-11-25,Senior
CUST00190,Customer 00190,Female,41,Dhaka,2025-09-06,Mid-age
CUST00191,Customer 00191,Male,28,Mymensingh,2023-01-10,Adult
CUST00192,Customer 00192,Male,34,Khulna,2024-03-21,Adult
CUST00193,Customer 00193,Male,21,Dhaka,2025-07-10,Young
CUST00194,Customer 00194,Male,42,Sylhet,2025-04-15,Mid-age
CUST00195,Customer 00195,Male,47,Khulna,2023-03-19,Senior
CUST00196,Customer 00196,Female,26,Mymensingh,2023-07-12,Adult
CUST00197,Customer 00197,Female,38,Rangpur,2024-02-05,Mid-age
CUST00198,Customer 00198,Female,37,Chattogram,2023-04-19,Mid-age
CUST00199,Customer 00199,Male,36,Khulna,2025-03-02,Mid-age
CUST00200,Customer 00200,Male,36,Sylhet,2023-09-20,Mid-age
CUST00201,Customer 00201,Male,29,Chattogram,2023-11-25,Adult
CUST00202,Customer 00202,Female,54,Dhaka,2023-12-29,Senior
CUST00203,Customer 00203,Male,59,Dhaka,2023-09-16,Senior
CUST00204,Customer 00204,Male,34,Chattogram,2023-03-26,Adult
CUST00205,Customer 00205,Female,54,Dhaka,2023-11-04,Senior
CUST00206,Customer 00206,Male,56,Dhaka,2023-09-19,Senior
CUST00207,Customer 00207,Female,45,Khulna,2025-03-07,Senior
CUST00208,Customer 00208,Female,58,Dhaka,2024-09-22,Senior
CUST00209,Customer 00209,Female,52,Sylhet,2024-11-10,Senior
CUST00210,Customer 00210,Male,35,Chattogram,2025-05-14,Mid-age
CUST00211,Customer 00211,Male,31,Mymensingh,2023-11-20,Adult
CUST00212,Customer 00212,Male,52,Chattogram,2025-07-13,Senior
CUST00213,Customer 00213,Male,58,Dhaka,2024-12-27,Senior
CUST00214,Customer 00214,Male,24,Chattogram,2025-09-04,Young
CUST00215,Customer 00215,Male,58,Barishal,2023-08-05,Senior
CUST00216,Customer 00216,Male,30,Mymensingh,2024-03-23,Adult
CUST00217,Customer 00217,Female,35,Chattogram,2023-11-15,Mid-age
CUST00218,Customer 00218,Male,54,Dhaka,2025-09-20,Senior
CUST00219,Customer 00219,Female,30,Rangpur,2023-02-06,Adult
CUST00220,Customer 00220,Male,53,Dhaka,2024-12-31,Senior
CUST00221,Customer 00221,Male,48,Sylhet,2025-10-07,Senior
CUST00222,Customer 00222,Male,19,Chattogram,2025-11-23,Young
CUST00223,Customer 00223,Female,33,Dhaka,2023-02-08,Adult
CUST00224,Customer 00224,Female,26,Dhaka,2023-07-28,Adult
CUST00225,Customer 00225,Female,26,Dhaka,2025-04-09,Adult
CUST00226,Customer 00226,Female,55,Rajshahi,2025-05-05,Senior
CUST00227,Customer 00227,Male,28,Mymensingh,2025-06-17,Adult
CUST00228,Customer 00228,Female,39,Dhaka,2024-08-23,Mid-age
CUST00229,Customer 00229,Male,50,Barishal,2025-01-29,Senior
CUST00230,Customer 00230,Male,53,Dhaka,2024-03-09,Senior
CUST00231,Customer 00231,Female,40,Chattogram,2025-04-21,Mid-age
CUST00232,Customer 00232,Female,51,Dhaka,2023-02-01,Senior
CUST00233,Customer 00233,Female,26,Mymensingh,2024-01-28,Adult
CUST00234,Customer 00234,Female,41,Khulna,2025-06-28,Mid-age
CUST00235,Customer 00235,Female,25,Rajshahi,2023-07-11,Adult
CUST00236,Customer 00236,Female,24,Barishal,2023-09-27,Young
CUST00237,Customer 00237,Female,53,Rajshahi,2025-01-07,Senior
CUST00238,Customer 00238,Female,35,Mymensingh,2023-03-18,Mid-age
CUST00239,Customer 00239,Male,20,Khulna,2025-01-04,Young
CUST00240,Customer 00240,Female,45,Mymensingh,2025-06-02,Senior
CUST00241,Customer 00241,Female,23,Chattogram,2023-10-11,Young
CUST00242,Customer 00242,Male,38,Dhaka,2024-06-27,Mid-age
CUST00243,Customer 00243,Female,45,Chattogram,2024-10-10,Senior
CUST00244,Customer 00244,Male,57,Dhaka,2023-09-07,Senior
CUST00245,Customer 00245,Male,18,Sylhet,2023-04-05,Young
CUST00246,Customer 00246,Female,53,Chattogram,2023-01-17,Senior
CUST00247,Customer 00247,Male,38,Sylhet,2023-04-27,Mid-age
CUST00248,Customer 00248,Male,60,Dhaka,2025-09-09,Senior
CUST00249,Customer 00249,Male,52,Dhaka,2023-11-29,Senior
CUST00250,Customer 00250,Male,30,Chattogram,2024-10-07,Adult
CUST00251,Customer 00251,Female,27,Mymensingh,2023-04-26,Adult
CUST00252,Customer 00252,Male,27,Chattogram,2025-08-20,Adult
CUST00253,Customer 00253,Female,30,Chattogram,2025-04-26,Adult
CUST00254,Customer 00254,Male,54,Khulna,2023-11-12,Senior
CUST00255,Customer 00255,Male,55,Sylhet,2025-03-20,Senior
CUST00256,Customer 00256,Male,41,Dhaka,2024-01-07,Mid-age
CUST00257,Customer 00257,Male,19,Chattogram,2025-01-29,Young
CUST00258,Customer 00258,Female,39,Dhaka,2025-05-26,Mid-age
CUST00259,Customer 00259,Female,34,Mymensingh,2025-09-03,Adult
CUST00260,Customer 00260,Male,53,Dhaka,2023-06-05,Senior
CUST00261,Customer 00261,Male,31,Dhaka,2024-09-05,Adult
CUST00262,Customer 00262,Female,27,Dhaka,2025-11-02,Adult
CUST00263,Customer 00263,Male,52,Dhaka,2024-05-22,Senior
CUST00264,Customer 00264,Male,42,Khulna,2024-04-09,Mid-age
CUST00265,Customer 00265,Male,20,Dhaka,2025-02-21,Young
CUST00266,Customer 00266,Female,55,Dhaka,2025-03-14,Senior
CUST00267,Customer 00267,Female,34,Chattogram,2023-08-08,Adult
CUST00268,Customer 00268,Female,29,Dhaka,2023-01-15,Adult
CUST00269,Customer 00269,Male,41,Dhaka,2023-04-27,Mid-age
CUST00270,Customer 00270,Male,46,Barishal,2023-11-27,Senior
CUST00271,Customer 00271,Female,60,Khulna,2023-02-25,Senior
CUST00272,Customer 00272,Female,42,Rangpur,2023-11-04,Mid-age
CUST00273,Customer 00273,Female,53,Rangpur,2023-08-10,Senior
CUST00274,Customer 00274,Female,43,Rajshahi,2025-03-07,Mid-age
CUST00275,Customer 00275,Male,55,Dhaka,2023-05-31,Senior
CUST00276,Customer 00276,Female,18,Khulna,2023-04-22,Young
CUST00277,Customer 00277,Male,37,Barishal,2024-11-13,Mid-age
CUST00278,Customer 00278,Female,45,Barishal,2023-11-28,Senior
CUST00279,Customer 00279,Male,33,Chattogram,2025-06-11,Adult
CUST00280,Customer 00280,Female,34,Dhaka,2023-06-10,Adult
CUST00281,Customer 00281,Female,57,Barishal,2023-10-05,Senior
CUST00282,Customer 00282,Female,45,Khulna,2025-06-15,Senior
CUST00283,Customer 00283,Female,29,Mymensingh,2024-05-11,Adult
CUST00284,Customer 00284,Male,44,Dhaka,2024-10-16,Mid-age
CUST00285,Customer 00285,Female,59,Dhaka,2025-11-25,Senior
CUST00286,Customer 00286,Male,47,Dhaka,2023-10-30,Senior
CUST00287,Customer 00287,Male,58,Barishal,2024-03-13,Senior
CUST00288,Customer 00288,Male,51,Dhaka,2024-12-26,Senior
CUST00289,Customer 00289,Male,54,Dhaka,2025-11-21,Senior
CUST00290,Customer 00290,Female,23,Mymensingh,2023-07-05,Young
CUST00291,Customer 00291,Male,24,Dhaka,2024-11-03,Young
CUST00292,Customer 00292,Male,49,Barishal,2025-09-27,Senior
CUST00293,Customer 00293,Male,49,Dhaka,2023-10-06,Senior
CUST00294,Customer 00294,Female,42,Barishal,2024-11-13,Mid-age
CUST00295,Customer 00295,Female,50,Chattogram,2025-10-22,Senior
CUST00296,Customer 00296,Female,24,Rangpur,2025-10-07,Young
CUST00297,Customer 00297,Female,29,Mymensingh,2025-07-13,Adult
CUST00298,Customer 00298,Male,33,Dhaka,2024-01-15,Adult
CUST00299,Customer 00299,Male,33,Dhaka,2025-04-14,Adult
CUST00300,Customer 00300,Female,60,Dhaka,2025-09-25,Senior
CUST00301,Customer 00301,Male,53,Rajshahi,2023-10-12,Senior
CUST00302,Customer 00302,Male,30,Rangpur,2024-02-25,Adult
CUST00303,Customer 00303,Male,24,Chattogram,2023-04-23,Young
CUST00304,Customer 00304,Female,53,Sylhet,2025-10-14,Senior
CUST00305,Customer 00305,Female,26,Dhaka,2023-08-16,Adult
CUST00306,Customer 00306,Male,49,Barishal,2024-06-11,Senior
CUST00307,Customer 00307,Female,28,Mymensingh,2024-05-10,Adult
CUST00308,Customer 00308,Female,25,Dhaka,2023-01-31,Adult
CUST00309,Customer 00309,Female,50,Chattogram,2023-06-11,Senior
CUST00310,Customer 00310,Female,40,Dhaka,2024-12-05,Mid-age
CUST00311,Customer 00311,Female,42,Chattogram,2024-12-22,Mid-age
CUST00312,Customer 00312,Male,25,Chattogram,2024-03-21,Adult
CUST00313,Customer 00313,Female,39,Dhaka,2025-01-13,Mid-age
CUST00314,Customer 00314,Male,21,Chattogram,2024-03-02,Young
CUST00315,Customer 00315,Male,57,Dhaka,2024-05-18,Senior
CUST00316,Customer 00316,Female,20,Chattogram,2024-12-21,Young
CUST00317,Customer 00317,Male,46,Sylhet,2024-11-14,Senior
CUST00318,Customer 00318,Male,58,Dhaka,2024-08-04,Senior
CUST00319,Customer 00319,Male,46,Khulna,2025-11-23,Senior
CUST00320,Customer 00320,Female,51,Khulna,2025-01-05,Senior
CUST00321,Customer 00321,Female,51,Dhaka,2024-11-21,Senior
CUST00322,Customer 00322,Male,45,Dhaka,2025-01-27,Senior
CUST00323,Customer 00323,Female,30,Khulna,2025-01-23,Adult
CUST00324,Customer 00324,Female,32,Mymensingh,2023-01-24,Adult
CUST00325,Customer 00325,Female,40,Dhaka,2023-02-24,Mid-age
CUST00326,Customer 00326,Female,43,Dhaka,2025-11-15,Mid-age
CUST00327,Customer 00327,Male,21,Dhaka,2025-03-14,Young
CUST00328,Customer 00328,Male,43,Sylhet,2023-11-23,Mid-age
CUST00329,Customer 00329,Female,57,Dhaka,2025-08-27,Senior
CUST00330,Customer 00330,Female,26,Dhaka,2023-07-05,Adult
CUST00331,Customer 00331,Male,22,Rajshahi,2024-05-09,Young
CUST00332,Customer 00332,Male,49,Sylhet,2025-11-01,Senior
CUST00333,Customer 00333,Female,37,Chattogram,2024-03-09,Mid-age
CUST00334,Customer 00334,Male,28,Chattogram,2023-07-27,Adult
CUST00335,Customer 00335,Female,32,Sylhet,2023-05-13,Adult
CUST00336,Customer 00336,Female,49,Dhaka,2024-01-04,Senior
CUST00337,Customer 00337,Male,45,Dhaka,2024-02-27,Senior
CUST00338,Customer 00338,Male,39,Rangpur,2025-10-29,Mid-age
CUST00339,Customer 00339,Female,58,Dhaka,2023-09-01,Senior
CUST00340,Customer 00340,Female,34,Rajshahi,2025-02-20,Adult
CUST00341,Customer 00341,Male,43,Mymensingh,2024-09-15,Mid-age
CUST00342,Customer 00342,Female,24,Dhaka,2024-07-20,Young
CUST00343,Customer 00343,Male,59,Dhaka,2024-06-10,Senior
CUST00344,Customer 00344,Female,43,Sylhet,2023-02-06,Mid-age
CUST00345,Customer 00345,Male,42,Rangpur,2023-06-27,Mid-age
CUST00346,Customer 00346,Male,27,Mymensingh,2024-09-30,Adult
CUST00347,Customer 00347,Male,36,Khulna,2025-05-01,Mid-age
CUST00348,Customer 00348,Female,28,Dhaka,2023-03-13,Adult
CUST00349,Customer 00349,Female,30,Rajshahi,2023-12-18,Adult
CUST00350,Customer 00350,Male,25,Chattogram,2024-09-14,Adult
CUST00351,Customer 00351,Female,57,Chattogram,2023-04-15,Senior
CUST00352,Customer 00352,Male,21,Dhaka,2023-08-09,Young
CUST00353,Customer 00353,Male,48,Dhaka,2025-05-12,Senior
CUST00354,Customer 00354,Female,45,Barishal,2024-06-01,Senior
CUST00355,Customer 00355,Female,28,Chattogram,2023-10-26,Adult
CUST00356,Customer 00356,Male,60,Dhaka,2025-05-10,Senior
CUST00357,Customer 00357,Female,18,Chattogram,2023-02-11,Young
CUST00358,Customer 00358,Female,55,Rangpur,2025-02-09,Senior
CUST00359,Customer 00359,Male,41,Khulna,2025-06-15,Mid-age
CUST00360,Customer 00360,Male,48,Dhaka,2024-05-06,Senior
CUST00361,Customer 00361,Female,58,Dhaka,2025-12-06,Senior
CUST00362,Customer 00362,Male,43,Dhaka,2023-03-26,Mid-age
CUST00363,Customer 00363,Male,22,Mymensingh,2025-12-17,Young
CUST00364,Customer 00364,Female,37,Sylhet,2025-09-17,Mid-age
CUST00365,Customer 00365,Male,58,Chattogram,2024-12-11,Senior
CUST00366,Customer 00366,Male,28,Sylhet,2023-07-28,Adult
CUST00367,Customer 00367,Female,50,Dhaka,2023-02-08,Senior
CUST00368,Customer 00368,Female,55,Barishal,2025-07-14,Senior
CUST00369,Customer 00369,Male,44,Chattogram,2025-01-31,Mid-age
CUST00370,Customer 00370,Male,51,Dhaka,2025-08-03,Senior
CUST00371,Customer 00371,Female,32,Dhaka,2023-02-21,Adult
CUST00372,Customer 00372,Female,49,Chattogram,2024-01-09,Senior
CUST00373,Customer 00373,Female,38,Mymensingh,2025-07-19,Mid-age
CUST00374,Customer 00374,Female,22,Dhaka,2023-06-05,Young
CUST00375,Customer 00375,Male,23,Rangpur,2024-11-09,Young
CUST00376,Customer 00376,Female,55,Khulna,2023-12-17,Senior
CUST00377,Customer 00377,Female,39,Dhaka,2023-03-10,Mid-age
CUST00378,Customer 00378,Male,35,Dhaka,2025-12-11,Mid-age
CUST00379,Customer 00379,Female,31,Dhaka,2024-10-15,Adult
CUST00380,Customer 00380,Male,27,Khulna,2023-03-04,Adult
CUST00381,Customer 00381,Female,30,Dhaka,2024-05-23,Adult
CUST00382,Customer 00382,Female,48,Dhaka,2023-10-19,Senior
CUST00383,Customer 00383,Female,47,Chattogram,2025-03-31,Senior
CUST00384,Customer 00384,Male,20,Khulna,2023-05-30,Young
CUST00385,Customer 00385,Male,47,Dhaka,2025-05-30,Senior
CUST00386,Customer 00386,Female,23,Chattogram,2024-12-04,Young
CUST00387,Customer 00387,Male,46,Chattogram,2024-05-30,Senior
CUST00388,Customer 00388,Male,25,Chattogram,2023-01-30,Adult
CUST00389,Customer 00389,Male,60,Barishal,2023-11-22,Senior
CUST00390,Customer 00390,Male,50,Dhaka,2025-08-06,Senior
CUST00391,Customer 00391,Male,34,Barishal,2023-01-16,Adult
CUST00392,Customer 00392,Male,28,Rajshahi,2023-04-21,Adult
CUST00393,Customer 00393,Female,30,Chattogram,2025-05-21,Adult
CUST00394,Customer 00394,Female,28,Rajshahi,2024-12-13,Adult
CUST00395,Customer 00395,Male,48,Chattogram,2023-04-17,Senior
